[Date: 04.05.2021 time: 22:01:39] | Succesfully started BankingLogger
[Date: 04.05.2021 time: 22:33:53] | Player: 76561199122053225 withdrawed 100000 from own account.
[Date: 04.05.2021 time: 22:41:20] | Player: 76561199146161640 withdrawed 10000 from own account.
[Date: 04.05.2021 time: 22:41:41] | Player: 76561197984956790 withdrawed 7 from own account.
[Date: 04.05.2021 time: 22:43:25] | Player: 76561197984956790 Deposited 2773 on own account.
[Date: 04.05.2021 time: 22:45:55] | Player: 76561199146161640 Deposited 5060 on own account.
[Date: 04.05.2021 time: 23:01:49] | Player: 76561197984956790 withdrawed 1000 from own account.
[Date: 04.05.2021 time: 23:15:28] | Player: 76561198143562963 Deposited 14700 on own account.
[Date: 04.05.2021 time: 23:23:58] | Player: 76561199148015671 withdrawed 5000 from own account.
[Date: 04.05.2021 time: 23:24:51] | Player: 76561199148015671 withdrawed 1000 from own account.
[Date: 04.05.2021 time: 23:25:01] | Player: 76561199122053225 withdrawed 15000 from own account.
[Date: 04.05.2021 time: 23:33:03] | Player: 76561198143562963 withdrawed 400000 from own account.
[Date: 04.05.2021 time: 23:34:07] | Player: 76561198143562963 withdrawed 100000 from own account.
[Date: 05.05.2021 time: 00:16:57] | Player: 76561197984956790 withdrawed 1000 from own account.
[Date: 05.05.2021 time: 00:20:25] | Player: 76561197984956790 withdrawed 550 from own account.
[Date: 05.05.2021 time: 00:20:46] | Player: 76561197984956790 withdrawed 1000 from own account.
[Date: 05.05.2021 time: 00:21:03] | Player: 76561197984956790 Deposited 300 on own account.
[Date: 05.05.2021 time: 00:34:06] | Player: 76561197984956790 withdrawed 1000 from own account.
[Date: 05.05.2021 time: 00:34:41] | Player: 76561197984956790 Deposited 0 on own account.
[Date: 05.05.2021 time: 00:39:30] | Player: 76561197984956790 Deposited 0 on own account.
[Date: 05.05.2021 time: 00:39:39] | Player: 76561197972783332 Deposited 7505 on own account.
[Date: 05.05.2021 time: 00:48:47] | Player: 76561199122053225 withdrawed 100000 from own account.
[Date: 05.05.2021 time: 00:52:29] | Player: 76561198035432577 Deposited 21385 on own account.
[Date: 05.05.2021 time: 01:10:21] | Player: 76561199122053225 withdrawed 45583 from own account.
[Date: 05.05.2021 time: 01:10:41] | Player: 76561197984956790 withdrawed 5000 from own account.
[Date: 05.05.2021 time: 01:12:41] | Player: 76561197984956790 Deposited 5000 on own account.
[Date: 05.05.2021 time: 01:20:24] | Player: 76561197984956790 withdrawed 10000 from own account.
[Date: 05.05.2021 time: 01:23:57] | Player: 76561199146161640 Deposited 400055 on own account.
[Date: 05.05.2021 time: 01:32:25] | Player: 76561197984956790 Deposited 7250 on own account.
[Date: 05.05.2021 time: 01:32:38] | Player: 76561197972783332 Deposited 400 on own account.
[Date: 05.05.2021 time: 01:42:15] | Player: 76561197972783332 Deposited 607 on own account.
[Date: 05.05.2021 time: 01:43:07] | Player: 76561199129705642 withdrawed 20000 from own account.
[Date: 05.05.2021 time: 01:49:02] | Player: 76561197972783332 withdrawed 3500 from own account.
[Date: 05.05.2021 time: 01:55:37] | Player: 76561197984956790 withdrawed 10000 from own account.
