[Date: 24.04.2021 time: 22:01:29] | Succesfully started BankingLogger
[Date: 24.04.2021 time: 22:07:55] | Player: 76561198042235031 Deposited 8625 on own account.
[Date: 24.04.2021 time: 22:10:41] | Player: 76561198067290448 Deposited 95799 on own account.
[Date: 24.04.2021 time: 22:12:54] | Player: 76561198254602740 withdrawed 102222 from own account.
[Date: 24.04.2021 time: 22:18:12] | Player: 76561198254602740 Deposited 97028 on own account.
[Date: 24.04.2021 time: 22:19:41] | Player: 76561198254602740 withdrawed 33333 from own account.
[Date: 24.04.2021 time: 22:22:08] | Player: 76561198351161462 withdrawed 51000 from own account.
[Date: 24.04.2021 time: 22:25:03] | Player: 76561199121764782 Deposited 125 on own account.
[Date: 24.04.2021 time: 22:25:28] | Player: 76561198254602740 Deposited 32953 on own account.
[Date: 24.04.2021 time: 22:25:28] | Player: 76561199121764782 withdrawed 20000 from own account.
[Date: 24.04.2021 time: 22:28:06] | Player: 76561198037023350 Deposited 17364 on own account.
[Date: 24.04.2021 time: 22:31:24] | Player: 76561198067290448 withdrawed 15000 from own account.
[Date: 24.04.2021 time: 22:33:08] | Player: 76561199121764782 Deposited 5800 on own account.
[Date: 24.04.2021 time: 22:33:51] | Player: 76561198099487602 withdrawed 500000 from own account.
[Date: 24.04.2021 time: 22:34:27] | Player: 76561198068395829 withdrawed 20000 from own account.
[Date: 24.04.2021 time: 22:35:56] | Player: 76561198037023350 withdrawed 140 from own account.
[Date: 24.04.2021 time: 22:36:03] | Player: 76561198099487602 withdrawed 5000 from own account.
[Date: 24.04.2021 time: 22:36:11] | Player: 76561198067290448 Deposited 9753 on own account.
[Date: 24.04.2021 time: 22:42:34] | Player: 76561198099487602 Deposited 350 on own account.
[Date: 24.04.2021 time: 22:44:10] | Player: 76561199121764782 withdrawed 6000 from own account.
[Date: 24.04.2021 time: 22:58:25] | Player: 76561198351161462 Deposited 14790 on own account.
[Date: 24.04.2021 time: 23:03:51] | Player: 76561197976576399 withdrawed 101456 from own account.
[Date: 24.04.2021 time: 23:05:08] | Player: 76561198067290448 Deposited 50000 on own account.
[Date: 24.04.2021 time: 23:05:10] | Player: 76561198284652800 withdrawed 50043 from own account.
[Date: 24.04.2021 time: 23:07:33] | Player: 76561197976576399 Deposited 51456 on own account.
[Date: 24.04.2021 time: 23:08:50] | Player: 76561198351161462 withdrawed 16790 from own account.
[Date: 24.04.2021 time: 23:11:30] | Player: 76561198284652800 Deposited 28833 on own account.
[Date: 24.04.2021 time: 23:14:21] | Player: 76561198134225155 Deposited 63 on own account.
[Date: 24.04.2021 time: 23:14:23] | Player: 76561198162344833 withdrawed 10000 from own account.
[Date: 24.04.2021 time: 23:18:43] | Player: 76561198162344833 withdrawed 25200 from own account.
[Date: 24.04.2021 time: 23:18:44] | Player: 76561198162344833 Deposited 25200 on own account.
[Date: 24.04.2021 time: 23:18:46] | Player: 76561198162344833 Deposited 25200 on own account.
[Date: 24.04.2021 time: 23:23:24] | Player: 76561198134225155 Deposited 1246 on own account.
[Date: 24.04.2021 time: 23:29:32] | Player: 76561198067290448 Deposited 46500 on own account.
[Date: 24.04.2021 time: 23:30:06] | Player: 76561198284652800 Deposited 22995 on own account.
[Date: 24.04.2021 time: 23:33:45] | Player: 76561198198409010 Deposited 408 on own account.
[Date: 24.04.2021 time: 23:33:55] | Player: 76561198068395829 Deposited 1160 on own account.
[Date: 24.04.2021 time: 23:35:52] | Player: 76561198099487602 Deposited 13135 on own account.
[Date: 24.04.2021 time: 23:49:37] | Player: 76561198099487602 Deposited 13272 on own account.
[Date: 25.04.2021 time: 00:00:58] | Player: 76561197976576399 Deposited 9103 on own account.
[Date: 25.04.2021 time: 00:20:13] | Player: 76561198162344833 Deposited 24247 on own account.
[Date: 25.04.2021 time: 00:21:21] | Player: 76561199156952824 Deposited 20000 on own account.
[Date: 25.04.2021 time: 00:23:25] | Player: 76561199156952824 Deposited 1288 on own account.
[Date: 25.04.2021 time: 00:26:21] | Player: 76561199156952824 Deposited 80 on own account.
[Date: 25.04.2021 time: 00:28:10] | Player: 76561198067290448 withdrawed 1100000 from own account.
[Date: 25.04.2021 time: 00:29:17] | Player: 76561199156952824 Deposited 372 on own account.
[Date: 25.04.2021 time: 00:29:40] | Player: 76561198284652800 withdrawed 52828 from own account.
[Date: 25.04.2021 time: 00:29:42] | Player: 76561199048973301 Deposited 3000 on own account.
[Date: 25.04.2021 time: 00:32:19] | Player: 76561198284652800 Deposited 51289 on own account.
[Date: 25.04.2021 time: 00:32:25] | Player: 76561199048973301 Deposited 28700 on own account.
[Date: 25.04.2021 time: 00:33:29] | Player: 76561199048973301 Deposited 1120 on own account.
[Date: 25.04.2021 time: 00:34:29] | Player: 76561198284652800 withdrawed 51289 from own account.
[Date: 25.04.2021 time: 00:34:47] | Player: 76561199156952824 Deposited 1250 on own account.
[Date: 25.04.2021 time: 00:37:48] | Player: 76561199048973301 Deposited 18440 on own account.
[Date: 25.04.2021 time: 00:46:13] | Player: 76561198162344833 withdrawed 1000 from own account.
[Date: 25.04.2021 time: 00:48:16] | Player: 76561198284652800 Deposited 40846 on own account.
[Date: 25.04.2021 time: 00:49:09] | Player: 76561199116927487 Deposited 7362 on own account.
