[Date: 23.04.2021 time: 22:01:00] | Succesfully started BankingLogger
[Date: 23.04.2021 time: 22:02:49] | Player: 76561198162344833 withdrawed 5000 from own account.
[Date: 23.04.2021 time: 22:04:35] | Player: 76561198162344833 withdrawed 5000 from own account.
[Date: 23.04.2021 time: 22:07:07] | Player: 76561198396489573 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 22:08:33] | Player: 76561198042235031 withdrawed 3000 from own account.
[Date: 23.04.2021 time: 22:09:30] | Player: 76561198162344833 withdrawed 2650 from own account.
[Date: 23.04.2021 time: 22:09:37] | Player: 76561198162344833 Deposited 5300 on own account.
[Date: 23.04.2021 time: 22:11:56] | Player: 76561198042235031 withdrawed 9000 from own account.
[Date: 23.04.2021 time: 22:12:49] | Player: 76561198162344833 withdrawed 200 from own account.
[Date: 23.04.2021 time: 22:12:53] | Player: 76561198162344833 withdrawed 1800 from own account.
[Date: 23.04.2021 time: 22:13:58] | Player: 76561198396489573 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 22:17:23] | Player: 76561198042235031 Deposited 1250 on own account.
[Date: 23.04.2021 time: 22:18:10] | Player: 76561198284652800 Deposited 2674 on own account.
[Date: 23.04.2021 time: 22:18:54] | Player: 76561198333106484 withdrawed 10000 from own account.
[Date: 23.04.2021 time: 22:19:07] | Player: 76561198284652800 withdrawed 30033 from own account.
[Date: 23.04.2021 time: 22:20:57] | Player: 76561198162344833 withdrawed 10000 from own account.
[Date: 23.04.2021 time: 22:22:21] | Player: 76561198333106484 withdrawed 5000 from own account.
[Date: 23.04.2021 time: 22:24:12] | Player: 76561198396489573 withdrawed 2000 from own account.
[Date: 23.04.2021 time: 22:26:27] | Player: 76561198042235031 Deposited 400 on own account.
[Date: 23.04.2021 time: 22:26:39] | Player: 76561198284652800 Deposited 9403 on own account.
[Date: 23.04.2021 time: 22:26:55] | Player: 76561198396489573 Deposited 257 on own account.
[Date: 23.04.2021 time: 22:28:33] | Player: 76561198284652800 withdrawed 11403 from own account.
[Date: 23.04.2021 time: 22:28:45] | Player: 76561198162344833 Deposited 1400 on own account.
[Date: 23.04.2021 time: 22:29:39] | Player: 76561198068395829 withdrawed 22222 from own account.
[Date: 23.04.2021 time: 22:30:27] | Player: 76561198035432577 Deposited 1550 on own account.
[Date: 23.04.2021 time: 22:33:55] | Player: 76561198284652800 Deposited 11403 on own account.
[Date: 23.04.2021 time: 22:35:35] | Player: 76561197976576399 Deposited 8498 on own account.
[Date: 23.04.2021 time: 22:36:11] | Player: 76561199148015671 Deposited 5340 on own account.
[Date: 23.04.2021 time: 22:36:12] | Player: 76561198143912910 Deposited 29365 on own account.
[Date: 23.04.2021 time: 22:36:25] | Player: 76561198065413312 withdrawed 1500 from own account.
[Date: 23.04.2021 time: 22:50:35] | Player: 76561198333106484 withdrawed 2000 from own account.
[Date: 23.04.2021 time: 22:50:37] | Player: 76561198333106484 withdrawed 0 from own account.
[Date: 23.04.2021 time: 22:52:28] | Player: 76561198421975055 withdrawed 2250 from own account.
[Date: 23.04.2021 time: 23:43:25] | Player: 76561199048973301 Deposited 3400 on own account.
[Date: 23.04.2021 time: 23:48:20] | Player: 76561198328689163 Deposited 12165 on own account.
[Date: 23.04.2021 time: 23:49:01] | Player: 76561198312217850 joined the Clan Banking Account: skunkblazergaming
[Date: 23.04.2021 time: 23:49:01] | Player: 76561198312217850 Created Clan: skunkblazergaming
[Date: 23.04.2021 time: 23:49:52] | Player: 76561198312217850 deposited 12805 on clan account.
[Date: 23.04.2021 time: 23:50:32] | Player: 76561198312217850 withdrawed 1000 from clan account.
[Date: 23.04.2021 time: 23:50:43] | Player: 76561198328689163 joined the Clan Banking Account: skunkblazergaming
[Date: 23.04.2021 time: 23:51:46] | Player: 76561198328689163 PermissionsUpdated! from clan: skunkblazergaming
[Date: 23.04.2021 time: 23:51:50] | Player: 76561198328689163 deposited 750 on clan account.
[Date: 23.04.2021 time: 23:52:01] | Player: 76561198328689163 withdrawed 31839 from own account.
[Date: 23.04.2021 time: 23:52:11] | Player: 76561198312217850 withdrawed 3040 from own account.
[Date: 23.04.2021 time: 23:52:17] | Player: 76561198328689163 deposited 31839 on clan account.
[Date: 23.04.2021 time: 23:52:24] | Player: 76561198312217850 deposited 3040 on clan account.
[Date: 23.04.2021 time: 23:52:26] | Player: 76561198328689163 withdrawed 0 from own account.
[Date: 23.04.2021 time: 23:54:54] | Player: 76561198035432577 withdrawed 1400 from own account.
[Date: 24.04.2021 time: 00:01:00] | Player: 76561199156952824 Deposited 2594 on own account.
[Date: 24.04.2021 time: 00:04:15] | Player: 76561199156952824 Deposited 3410 on own account.
[Date: 24.04.2021 time: 00:04:39] | Player: 76561198067290448 Deposited 16473 on own account.
[Date: 24.04.2021 time: 00:05:29] | Player: 76561199156952824 Deposited 825 on own account.
[Date: 24.04.2021 time: 00:07:30] | Player: 76561198065413312 Deposited 500700 on own account.
[Date: 24.04.2021 time: 00:09:19] | Player: 76561199156952824 Deposited 55 on own account.
[Date: 24.04.2021 time: 00:19:31] | Player: 76561198065413312 Deposited 900000 on own account.
[Date: 24.04.2021 time: 00:31:19] | Player: 76561199156952824 Deposited 150 on own account.
[Date: 24.04.2021 time: 00:40:26] | Player: 76561198065413312 withdrawed 1100000 from own account.
[Date: 24.04.2021 time: 00:41:12] | Player: 76561198065413312 Deposited 9500 on own account.
[Date: 24.04.2021 time: 00:41:14] | Player: 76561198065413312 Deposited 9500 on own account.
[Date: 24.04.2021 time: 00:41:15] | Player: 76561198065413312 Deposited 9500 on own account.
[Date: 24.04.2021 time: 00:41:16] | Player: 76561198065413312 Deposited 9500 on own account.
[Date: 24.04.2021 time: 00:41:22] | Player: 76561198065413312 Deposited 57000 on own account.
[Date: 24.04.2021 time: 00:44:09] | Player: 76561199156952824 Deposited 470 on own account.
[Date: 24.04.2021 time: 00:44:17] | Player: 76561199156952824 withdrawed 2600 from own account.
[Date: 24.04.2021 time: 00:44:49] | Player: 76561198065413312 withdrawed 100 from own account.
[Date: 24.04.2021 time: 00:48:14] | Player: 76561199156952824 withdrawed 400 from own account.
[Date: 24.04.2021 time: 00:51:47] | Player: 76561199156952824 withdrawed 1000 from own account.
[Date: 24.04.2021 time: 00:56:37] | Player: 76561199156952824 Deposited 397 on own account.
[Date: 24.04.2021 time: 01:00:39] | Player: 76561198067290448 Deposited 14450 on own account.
[Date: 24.04.2021 time: 01:07:49] | Player: 76561198067290448 Deposited 4415 on own account.
[Date: 24.04.2021 time: 01:31:58] | Player: 76561198067290448 Deposited 10362 on own account.
[Date: 24.04.2021 time: 01:37:28] | Player: 76561198067290448 Deposited 8442 on own account.
[Date: 24.04.2021 time: 01:52:04] | Player: 76561198065413312 withdrawed 750000 from own account.
