[Date: 29.04.2021 time: 02:01:09] | Succesfully started BankingLogger
[Date: 29.04.2021 time: 03:27:25] | Player: 76561199156952824 Deposited 9240 on own account.
[Date: 29.04.2021 time: 03:38:28] | Player: 76561198034506545 Deposited 51403 on own account.
[Date: 29.04.2021 time: 03:40:25] | Player: 76561198034506545 Deposited 7000 on own account.
[Date: 29.04.2021 time: 04:31:09] | Player: 76561198013080573 withdrawed 195000 from own account.
[Date: 29.04.2021 time: 04:32:12] | Player: 76561198013080573 Deposited 200000 on own account.
[Date: 29.04.2021 time: 04:33:22] | Player: 76561198013080573 withdrawed 414970 from own account.
[Date: 29.04.2021 time: 04:33:38] | Player: 76561198013080573 Deposited 415000 on own account.
[Date: 29.04.2021 time: 04:36:25] | Player: 76561198013080573 Deposited 100 on own account.
[Date: 29.04.2021 time: 04:39:36] | Player: 76561198999593356 withdrawed 150000 from own account.
[Date: 29.04.2021 time: 04:41:41] | Player: 76561198999593356 withdrawed 50000 from own account.
[Date: 29.04.2021 time: 04:41:49] | Player: 76561198999593356 withdrawed 0 from own account.
[Date: 29.04.2021 time: 04:42:01] | Player: 76561198999593356 withdrawed 0 from own account.
[Date: 29.04.2021 time: 04:42:35] | Player: 76561198999593356 withdrawed 100000 from own account.
[Date: 29.04.2021 time: 04:42:39] | Player: 76561198999593356 withdrawed 0 from own account.
[Date: 29.04.2021 time: 04:43:34] | Player: 76561198999593356 withdrawed 100000 from own account.
[Date: 29.04.2021 time: 04:43:36] | Player: 76561198999593356 withdrawed 0 from own account.
[Date: 29.04.2021 time: 04:44:03] | Player: 76561198013080573 Deposited 5825 on own account.
[Date: 29.04.2021 time: 04:44:07] | Player: 76561198999593356 withdrawed 50000 from own account.
[Date: 29.04.2021 time: 04:44:09] | Player: 76561198999593356 withdrawed 0 from own account.
[Date: 29.04.2021 time: 04:44:20] | Player: 76561198999593356 withdrawed 0 from own account.
[Date: 29.04.2021 time: 04:44:49] | Player: 76561198999593356 withdrawed 50000 from own account.
[Date: 29.04.2021 time: 04:48:34] | Player: 76561198034506545 Deposited 3627 on own account.
[Date: 29.04.2021 time: 04:48:56] | Player: 76561198013080573 Deposited 2400 on own account.
[Date: 29.04.2021 time: 04:49:43] | Player: 76561198999593356 Deposited 34000 on own account.
[Date: 29.04.2021 time: 05:45:13] | Player: 76561198013080573 Deposited 450000 on own account.
[Date: 29.04.2021 time: 05:45:38] | Player: 76561198999593356 Deposited 450000 on own account.
[Date: 29.04.2021 time: 05:50:20] | Player: 76561198999593356 withdrawed 60000 from own account.
