[Date: 02.05.2021 time: 14:00:32] | Succesfully started BankingLogger
[Date: 02.05.2021 time: 14:06:10] | Player: 76561198301100124 Deposited 11350 on own account.
[Date: 02.05.2021 time: 14:13:58] | Player: 76561198223714820 withdrawed 20000 from own account.
[Date: 02.05.2021 time: 14:14:29] | Player: 76561198223714820 Deposited 9000 on own account.
[Date: 02.05.2021 time: 14:20:47] | Player: 76561198152771835 Deposited 14380 on own account.
[Date: 02.05.2021 time: 14:30:57] | Player: 76561198162344833 Deposited 19500 on own account.
[Date: 02.05.2021 time: 14:35:42] | Player: 76561198254602740 Deposited 16000 on own account.
[Date: 02.05.2021 time: 14:36:22] | Player: 76561198152771835 Deposited 17690 on own account.
[Date: 02.05.2021 time: 14:41:39] | Player: 76561199148015671 Deposited 287503 on own account.
[Date: 02.05.2021 time: 14:41:41] | Player: 76561198035432577 Deposited 56560 on own account.
[Date: 02.05.2021 time: 14:43:21] | Player: 76561198035432577 withdrawed 20000 from own account.
[Date: 02.05.2021 time: 14:46:40] | Player: 76561198035432577 Deposited 12800 on own account.
[Date: 02.05.2021 time: 14:48:47] | Player: 76561198022860956 Deposited 1170 on own account.
[Date: 02.05.2021 time: 15:01:38] | Player: 76561199146161640 withdrawed 100000 from own account.
[Date: 02.05.2021 time: 15:06:54] | Player: 76561198839448946 withdrawed 233333 from own account.
[Date: 02.05.2021 time: 15:10:17] | Player: 76561199165643085 Deposited 1900 on own account.
[Date: 02.05.2021 time: 15:16:19] | Player: 76561198035432577 withdrawed 40000 from own account.
[Date: 02.05.2021 time: 15:22:36] | Player: 76561198035432577 Deposited 40383 on own account.
[Date: 02.05.2021 time: 15:22:54] | Player: 76561198035432577 withdrawed 5000 from own account.
[Date: 02.05.2021 time: 15:23:44] | Player: 76561199146161640 Deposited 32200 on own account.
[Date: 02.05.2021 time: 15:38:57] | Player: 76561198301100124 Deposited 6889 on own account.
[Date: 02.05.2021 time: 15:39:47] | Player: 76561198301100124 withdrawed 7363 from own account.
[Date: 02.05.2021 time: 15:41:44] | Player: 76561198301100124 Deposited 7363 on own account.
[Date: 02.05.2021 time: 16:02:01] | Player: 76561198037023350 withdrawed 5000 from own account.
[Date: 02.05.2021 time: 16:04:08] | Player: 76561198037023350 Deposited 500 on own account.
[Date: 02.05.2021 time: 16:05:41] | Player: 76561198037023350 withdrawed 20000 from own account.
[Date: 02.05.2021 time: 16:12:20] | Player: 76561198037023350 Deposited 12850 on own account.
[Date: 02.05.2021 time: 16:12:54] | Player: 76561199156952824 withdrawed 1000000 from own account.
[Date: 02.05.2021 time: 16:14:27] | Player: 76561199156952824 Deposited 1000000 on own account.
[Date: 02.05.2021 time: 16:15:50] | Player: 76561198152771835 Deposited 14122 on own account.
[Date: 02.05.2021 time: 16:16:53] | Player: 76561199156952824 withdrawed 1000000 from own account.
[Date: 02.05.2021 time: 16:18:20] | Player: 76561199156952824 withdrawed 6000 from own account.
[Date: 02.05.2021 time: 16:20:01] | Player: 76561199148015671 Deposited 20000 on own account.
[Date: 02.05.2021 time: 16:50:32] | Player: 76561198152771835 Deposited 5750 on own account.
[Date: 02.05.2021 time: 16:51:54] | Player: 76561199148015671 Deposited 22225 on own account.
[Date: 02.05.2021 time: 16:55:40] | Player: 76561199165643085 Deposited 30 on own account.
[Date: 02.05.2021 time: 17:15:11] | Player: 76561198143912910 Deposited 8800 on own account.
[Date: 02.05.2021 time: 17:16:47] | Player: 76561198839448946 withdrawed 23000 from own account.
[Date: 02.05.2021 time: 17:21:49] | Player: 76561199165643085 Deposited 61476 on own account.
[Date: 02.05.2021 time: 17:21:52] | Player: 76561198143912910 Deposited 12223 on own account.
[Date: 02.05.2021 time: 17:23:40] | Player: 76561198143912910 Deposited 695 on own account.
[Date: 02.05.2021 time: 17:25:35] | Player: 76561199148015671 Deposited 53500 on own account.
[Date: 02.05.2021 time: 17:25:53] | Player: 76561199165643085 withdrawed 50000 from own account.
[Date: 02.05.2021 time: 17:26:19] | Player: 76561198421975055 Deposited 72070 on own account.
[Date: 02.05.2021 time: 17:36:26] | Player: 76561198969225016 withdrawed 7000 from own account.
[Date: 02.05.2021 time: 17:41:26] | Player: 76561198333106484 withdrawed 5000 from own account.
[Date: 02.05.2021 time: 17:46:50] | Player: 76561199148015671 withdrawed 3000 from own account.
[Date: 02.05.2021 time: 17:57:46] | Player: 76561199165643085 Deposited 19788 on own account.
[Date: 02.05.2021 time: 17:58:00] | Player: 76561198969225016 Deposited 8800 on own account.
