[Date: 23.04.2021 time: 10:00:59] | Succesfully started BankingLogger
[Date: 23.04.2021 time: 10:10:45] | Player: 76561198133603788 Deposited 5672 on own account.
[Date: 23.04.2021 time: 10:12:08] | Player: 76561198133603788 withdrawed 100 from own account.
[Date: 23.04.2021 time: 10:12:51] | Player: 76561198133603788 withdrawed 1400 from own account.
[Date: 23.04.2021 time: 10:14:16] | Player: 76561198133603788 withdrawed 1500 from own account.
[Date: 23.04.2021 time: 10:15:45] | Player: 76561198133603788 Deposited 160 on own account.
[Date: 23.04.2021 time: 10:15:48] | Player: 76561198133603788 withdrawed 1200 from own account.
[Date: 23.04.2021 time: 10:16:42] | Player: 76561198133603788 Deposited 150 on own account.
[Date: 23.04.2021 time: 10:16:48] | Player: 76561198133603788 withdrawed 400 from own account.
[Date: 23.04.2021 time: 10:30:38] | Player: 76561198078883156 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 10:43:20] | Player: 76561198214237033 Deposited 21385 on own account.
[Date: 23.04.2021 time: 10:53:58] | Player: 76561198214237033 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 10:56:35] | Player: 76561198214237033 Deposited 880 on own account.
[Date: 23.04.2021 time: 11:21:30] | Player: 76561198037023350 Deposited 1550 on own account.
[Date: 23.04.2021 time: 11:26:12] | Player: 76561198214237033 Deposited 5720 on own account.
[Date: 23.04.2021 time: 12:05:15] | Player: 76561198078883156 Deposited 41000 on own account.
[Date: 23.04.2021 time: 12:06:43] | Player: 76561199076812837 withdrawed 4000 from own account.
[Date: 23.04.2021 time: 12:07:42] | Player: 76561199076812837 Deposited 400 on own account.
[Date: 23.04.2021 time: 12:07:48] | Player: 76561198421975055 Deposited 16000 on own account.
[Date: 23.04.2021 time: 12:09:26] | Player: 76561198421975055 withdrawed 5000 from own account.
[Date: 23.04.2021 time: 12:13:57] | Player: 76561198078883156 Deposited 1000 on own account.
[Date: 23.04.2021 time: 12:22:13] | Player: 76561198037023350 Deposited 3700 on own account.
[Date: 23.04.2021 time: 12:22:21] | Player: 76561198037023350 withdrawed 15000 from own account.
[Date: 23.04.2021 time: 12:37:30] | Player: 76561198042235031 Deposited 40 on own account.
[Date: 23.04.2021 time: 12:51:03] | Player: 76561198042235031 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 12:51:38] | Player: 76561198042235031 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 12:52:17] | Player: 76561198421975055 withdrawed 10000 from own account.
[Date: 23.04.2021 time: 12:52:35] | Player: 76561198177852285 withdrawed 10000 from own account.
[Date: 23.04.2021 time: 12:56:39] | Player: 76561198421975055 Deposited 1185 on own account.
[Date: 23.04.2021 time: 12:57:47] | Player: 76561198042235031 Deposited 850 on own account.
[Date: 23.04.2021 time: 13:04:58] | Player: 76561198421975055 withdrawed 100 from own account.
[Date: 23.04.2021 time: 13:05:37] | Player: 76561198421975055 withdrawed 8476 from own account.
[Date: 23.04.2021 time: 13:06:46] | Player: 76561198177852285 Deposited 7415 on own account.
[Date: 23.04.2021 time: 13:21:07] | Player: 76561198999593356 withdrawed 5000 from own account.
[Date: 23.04.2021 time: 13:26:00] | Player: 76561198999593356 Deposited 1020 on own account.
[Date: 23.04.2021 time: 13:27:04] | Player: 76561198068395829 withdrawed 200000 from own account.
[Date: 23.04.2021 time: 13:29:32] | Player: 76561198037023350 Deposited 42377 on own account.
[Date: 23.04.2021 time: 13:30:06] | Player: 76561198999593356 withdrawed 2000 from own account.
[Date: 23.04.2021 time: 13:50:43] | Player: 76561198037023350 Deposited 4490 on own account.
[Date: 23.04.2021 time: 13:50:55] | Player: 76561198078883156 Deposited 25000 on own account.
[Date: 23.04.2021 time: 13:57:23] | Player: 76561198037023350 Deposited 981 on own account.
[Date: 23.04.2021 time: 13:58:26] | Player: 76561198037023350 Deposited 275 on own account.
