[Date: 29.04.2021 time: 18:01:27] | Succesfully started BankingLogger
[Date: 29.04.2021 time: 18:23:36] | Player: 76561198223714820 Deposited 620 on own account.
[Date: 29.04.2021 time: 18:59:18] | Player: 76561199122053225 withdrawed 1000 from own account.
[Date: 29.04.2021 time: 19:03:54] | Player: 76561198223714820 Deposited 16200 on own account.
[Date: 29.04.2021 time: 19:11:12] | Player: 76561198042235031 Deposited 30 on own account.
[Date: 29.04.2021 time: 19:11:18] | Player: 76561198042235031 withdrawed 5000 from own account.
[Date: 29.04.2021 time: 19:11:49] | Player: 76561198042235031 Deposited 200 on own account.
[Date: 29.04.2021 time: 19:15:54] | Player: 76561198223714820 withdrawed 15000 from own account.
[Date: 29.04.2021 time: 19:24:26] | Player: 76561198042235031 Deposited 500 on own account.
[Date: 29.04.2021 time: 19:25:00] | Player: 76561199116927487 withdrawed 8000 from own account.
[Date: 29.04.2021 time: 19:34:21] | Player: 76561198223714820 Deposited 790 on own account.
[Date: 29.04.2021 time: 19:52:20] | Player: 76561199156952824 Deposited 3500 on own account.
[Date: 29.04.2021 time: 19:52:31] | Player: 76561199156952824 withdrawed 15000 from own account.
[Date: 29.04.2021 time: 19:57:35] | Player: 76561199156952824 withdrawed 15000 from own account.
[Date: 29.04.2021 time: 19:59:10] | Player: 76561198999593356 withdrawed 10000 from own account.
[Date: 29.04.2021 time: 20:04:30] | Player: 76561197976576399 Deposited 0 on own account.
[Date: 29.04.2021 time: 20:04:32] | Player: 76561197976576399 withdrawed 669679 from own account.
[Date: 29.04.2021 time: 20:05:08] | Player: 76561198162344833 withdrawed 65000 from own account.
[Date: 29.04.2021 time: 20:05:43] | Player: 76561198162344833 withdrawed 10000 from own account.
[Date: 29.04.2021 time: 20:06:31] | Player: 76561198162344833 Deposited 4480 on own account.
[Date: 29.04.2021 time: 20:10:15] | Player: 76561197976576399 Deposited 661179 on own account.
[Date: 29.04.2021 time: 20:14:26] | Player: 76561198067290448 withdrawed 200000 from clan account.
[Date: 29.04.2021 time: 20:15:10] | Player: 76561198162344833 Deposited 3000 on own account.
[Date: 29.04.2021 time: 20:19:11] | Player: 76561198162344833 withdrawed 5000 from own account.
[Date: 29.04.2021 time: 20:26:49] | Player: 76561199122053225 withdrawed 1000 from own account.
[Date: 29.04.2021 time: 20:30:39] | Player: 76561199122053225 Deposited 392 on own account.
[Date: 29.04.2021 time: 20:31:03] | Player: 76561198999593356 withdrawed 20000 from own account.
[Date: 29.04.2021 time: 20:42:59] | Player: 76561198068395829 Deposited 1300 on own account.
[Date: 29.04.2021 time: 20:43:27] | Player: 76561198999593356 Deposited 9729 on own account.
[Date: 29.04.2021 time: 20:55:40] | Player: 76561198067290448 deposited 147995 on clan account.
[Date: 29.04.2021 time: 21:03:00] | Player: 76561199156952824 withdrawed 20000 from own account.
[Date: 29.04.2021 time: 21:11:35] | Player: 76561199156952824 Deposited 17273 on own account.
[Date: 29.04.2021 time: 21:12:53] | Player: 76561199156952824 withdrawed 1000 from own account.
[Date: 29.04.2021 time: 21:27:31] | Player: 76561198100717229 Deposited 321000 on own account.
[Date: 29.04.2021 time: 21:45:09] | Player: 76561198396489573 withdrawed 500 from own account.
[Date: 29.04.2021 time: 21:46:10] | Player: 76561198100717229 withdrawed 1051554 from own account.
[Date: 29.04.2021 time: 21:48:11] | Player: 76561198100717229 Deposited 261654 on own account.
[Date: 29.04.2021 time: 21:53:46] | Player: 76561198037023350 Deposited 10620 on own account.
