[Date: 24.04.2021 time: 10:00:52] | Succesfully started BankingLogger
[Date: 24.04.2021 time: 10:05:01] | Player: 76561199076812837 withdrawed 10000 from own account.
[Date: 24.04.2021 time: 10:05:54] | Player: 76561199076812837 Deposited 300 on own account.
[Date: 24.04.2021 time: 10:09:28] | Player: 76561198043983035 Deposited 68 on own account.
[Date: 24.04.2021 time: 10:30:48] | Player: 76561198144170227 Deposited 5620 on own account.
[Date: 24.04.2021 time: 10:39:13] | Player: 76561198254602740 Deposited 74220 on own account.
[Date: 24.04.2021 time: 11:01:41] | Player: 76561198254602740 withdrawed 74617 from own account.
[Date: 24.04.2021 time: 11:44:41] | Player: 76561198254602740 Deposited 58022 on own account.
[Date: 24.04.2021 time: 11:46:39] | Player: 76561198144170227 Deposited 12000 on own account.
[Date: 24.04.2021 time: 12:13:40] | Player: 76561199148015671 withdrawed 5000 from own account.
[Date: 24.04.2021 time: 12:53:01] | Player: 76561198144170227 Deposited 5100 on own account.
[Date: 24.04.2021 time: 12:53:38] | Player: 76561198144170227 withdrawed 29883 from own account.
[Date: 24.04.2021 time: 13:03:56] | Player: 76561198144170227 Deposited 32536 on own account.
[Date: 24.04.2021 time: 13:05:24] | Player: 76561197965508404 Deposited 49445 on own account.
[Date: 24.04.2021 time: 13:05:49] | Player: 76561197965508404 withdrawed 49445 from own account.
[Date: 24.04.2021 time: 13:05:50] | Player: 76561197965508404 Deposited 49445 on own account.
[Date: 24.04.2021 time: 13:05:56] | Player: 76561197965508404 withdrawed 49445 from own account.
[Date: 24.04.2021 time: 13:06:00] | Player: 76561197965508404 Deposited 49445 on own account.
[Date: 24.04.2021 time: 13:17:49] | Player: 76561198037023350 Deposited 2025 on own account.
[Date: 24.04.2021 time: 13:17:58] | Player: 76561199148015671 Deposited 48063 on own account.
[Date: 24.04.2021 time: 13:27:23] | Player: 76561198144170227 Deposited 12350 on own account.
[Date: 24.04.2021 time: 13:29:47] | Player: 76561199116927487 Deposited 91105 on own account.
[Date: 24.04.2021 time: 13:35:46] | Player: 76561199116927487 withdrawed 27000 from own account.
[Date: 24.04.2021 time: 13:39:19] | Player: 76561198421975055 Deposited 24000 on own account.
[Date: 24.04.2021 time: 13:43:14] | Player: 76561198254602740 withdrawed 58022 from own account.
[Date: 24.04.2021 time: 13:46:52] | Player: 76561198035432577 Deposited 2700 on own account.
[Date: 24.04.2021 time: 13:54:21] | Player: 76561198254602740 Deposited 55127 on own account.
[Date: 24.04.2021 time: 13:54:48] | Player: 76561198035432577 Deposited 3125 on own account.
[Date: 24.04.2021 time: 13:57:03] | Player: 76561198254602740 withdrawed 4444 from own account.
