[Date: 27.04.2021 time: 22:00:48] | Succesfully started BankingLogger
[Date: 27.04.2021 time: 22:03:52] | Player: 76561199116927487 deposited 20000 on clan account.
[Date: 27.04.2021 time: 22:11:28] | Player: 76561197976576399 Deposited 2089 on own account.
[Date: 27.04.2021 time: 22:19:08] | Player: 76561199116927487 withdrawed 80000 from clan account.
[Date: 27.04.2021 time: 22:20:46] | Player: 76561198067290448 deposited 14030 on clan account.
[Date: 27.04.2021 time: 22:25:45] | Player: 76561198067290448 Deposited 500 on own account.
[Date: 27.04.2021 time: 22:33:13] | Player: 76561198143562963 Deposited 26994 on own account.
[Date: 27.04.2021 time: 22:42:54] | Player: 76561197976576399 Deposited 14329 on own account.
[Date: 27.04.2021 time: 23:04:06] | Player: 76561198037023350 Deposited 39185 on own account.
[Date: 27.04.2021 time: 23:05:14] | Player: 76561198165336762 withdrawed 15000 from own account.
[Date: 27.04.2021 time: 23:08:04] | Player: 76561198037023350 Deposited 8500 on own account.
[Date: 27.04.2021 time: 23:15:17] | Player: 76561198034506545 withdrawed 600 from own account.
[Date: 27.04.2021 time: 23:42:02] | Player: 76561198035432577 Deposited 7757 on own account.
[Date: 27.04.2021 time: 23:42:30] | Player: 76561198165336762 Deposited 15000 on own account.
[Date: 27.04.2021 time: 23:48:38] | Player: 76561198035432577 withdrawed 8000 from own account.
[Date: 28.04.2021 time: 01:31:56] | Player: 76561198068911463 Deposited 78850 on own account.
[Date: 28.04.2021 time: 01:37:04] | Player: 76561198068911463 withdrawed 60000 from own account.
[Date: 28.04.2021 time: 01:38:37] | Player: 76561198068911463 withdrawed 300 from own account.
