[Date: 28.04.2021 time: 18:01:02] | Succesfully started BankingLogger
[Date: 28.04.2021 time: 18:13:13] | Player: 76561198035432577 deposited 500 on clan account.
[Date: 28.04.2021 time: 18:13:38] | Player: 76561198035432577 withdrawed 2000 from own account.
[Date: 28.04.2021 time: 18:14:16] | Player: 76561198351161462 Deposited 9739 on own account.
[Date: 28.04.2021 time: 18:14:17] | Player: 76561198035432577 withdrawed 3000 from own account.
[Date: 28.04.2021 time: 18:15:20] | Player: 76561199121764782 Deposited 26699 on own account.
[Date: 28.04.2021 time: 18:15:54] | Player: 76561198035432577 withdrawed 1000 from own account.
[Date: 28.04.2021 time: 18:28:40] | Player: 76561198037023350 Deposited 35550 on own account.
[Date: 28.04.2021 time: 18:46:24] | Player: 76561198037023350 withdrawed 350 from own account.
[Date: 28.04.2021 time: 19:15:11] | Player: 76561199146161640 Deposited 5145 on own account.
[Date: 28.04.2021 time: 19:38:49] | Player: 76561198175875361 Deposited 13000 on own account.
[Date: 28.04.2021 time: 19:49:17] | Player: 76561198351161462 Deposited 15425 on own account.
[Date: 28.04.2021 time: 19:53:52] | Player: 76561199121764782 Deposited 14419 on own account.
[Date: 28.04.2021 time: 20:02:16] | Player: 76561198254602740 Deposited 21350 on own account.
[Date: 28.04.2021 time: 20:12:39] | Player: 76561198254602740 withdrawed 22216 from own account.
[Date: 28.04.2021 time: 20:15:41] | Player: 76561198254602740 Deposited 10776 on own account.
[Date: 28.04.2021 time: 20:21:30] | Player: 76561198254602740 withdrawed 10776 from own account.
[Date: 28.04.2021 time: 20:24:37] | Player: 76561198254602740 Deposited 516 on own account.
[Date: 28.04.2021 time: 20:24:52] | Player: 76561198100717229 Deposited 224200 on own account.
[Date: 28.04.2021 time: 20:33:12] | Player: 76561198100717229 withdrawed 669589 from own account.
[Date: 28.04.2021 time: 20:36:40] | Player: 76561198100717229 Deposited 701004 on own account.
[Date: 28.04.2021 time: 20:40:43] | Player: 76561197976576399 Deposited 23850 on own account.
[Date: 28.04.2021 time: 20:42:06] | Player: 76561197976576399 Deposited 23 on own account.
[Date: 28.04.2021 time: 20:44:16] | Player: 76561197965508404 Deposited 355200 on own account.
[Date: 28.04.2021 time: 20:55:08] | Player: 76561198035432577 withdrawed 2000 from own account.
[Date: 28.04.2021 time: 20:55:36] | Player: 76561198035432577 Deposited 800 on own account.
[Date: 28.04.2021 time: 21:02:44] | Player: 76561198301100124 Deposited 1964 on own account.
[Date: 28.04.2021 time: 21:02:52] | Player: 76561198301100124 withdrawed 7606 from own account.
[Date: 28.04.2021 time: 21:06:50] | Player: 76561197976576399 Deposited 52 on own account.
[Date: 28.04.2021 time: 21:09:21] | Player: 76561198301100124 withdrawed 5000 from own account.
[Date: 28.04.2021 time: 21:13:11] | Player: 76561198301100124 Deposited 2877 on own account.
[Date: 28.04.2021 time: 21:21:50] | Player: 76561198067290448 deposited 71447 on clan account.
[Date: 28.04.2021 time: 21:22:12] | Player: 76561198067290448 withdrawed 20000 from own account.
[Date: 28.04.2021 time: 21:23:12] | Player: 76561198067290448 Deposited 12800 on own account.
[Date: 28.04.2021 time: 21:51:36] | Player: 76561198037023350 Deposited 39378 on own account.
