[Date: 29.04.2021 time: 14:01:17] | Succesfully started BankingLogger
[Date: 29.04.2021 time: 14:49:32] | Player: 76561198103994628 withdrawed 10000 from own account.
[Date: 29.04.2021 time: 14:50:06] | Player: 76561197965508404 Deposited 1000 on own account.
[Date: 29.04.2021 time: 14:53:00] | Player: 76561198037023350 Deposited 20000 on own account.
[Date: 29.04.2021 time: 14:55:41] | Player: 76561199146161640 Deposited 91287 on own account.
[Date: 29.04.2021 time: 14:56:14] | Player: 76561198037023350 Deposited 12150 on own account.
[Date: 29.04.2021 time: 14:57:31] | Player: 76561199146161640 withdrawed 25000 from own account.
[Date: 29.04.2021 time: 14:58:27] | Player: 76561198280789118 withdrawed 75000 from own account.
[Date: 29.04.2021 time: 14:59:40] | Player: 76561199146161640 Deposited 23460 on own account.
[Date: 29.04.2021 time: 15:04:34] | Player: 76561198103994628 Deposited 4722 on own account.
[Date: 29.04.2021 time: 15:06:20] | Player: 76561198103994628 withdrawed 3000 from own account.
[Date: 29.04.2021 time: 15:06:23] | Player: 76561199146161640 withdrawed 25 from own account.
[Date: 29.04.2021 time: 15:10:04] | Player: 76561198103994628 withdrawed 5000 from own account.
[Date: 29.04.2021 time: 15:11:33] | Player: 76561198103994628 Deposited 350 on own account.
[Date: 29.04.2021 time: 15:11:35] | Player: 76561198103994628 Deposited 0 on own account.
[Date: 29.04.2021 time: 15:17:14] | Player: 76561198421975055 withdrawed 500 from own account.
[Date: 29.04.2021 time: 15:18:23] | Player: 76561198421975055 withdrawed 2200 from own account.
[Date: 29.04.2021 time: 15:20:31] | Player: 76561198396489573 withdrawed 3000 from own account.
[Date: 29.04.2021 time: 15:30:25] | Player: 76561199156952824 Deposited 9205 on own account.
[Date: 29.04.2021 time: 15:34:23] | Player: 76561199156952824 Deposited 800 on own account.
[Date: 29.04.2021 time: 15:35:40] | Player: 76561198280789118 withdrawed 170 from own account.
[Date: 29.04.2021 time: 15:35:42] | Player: 76561198280789118 withdrawed 0 from own account.
[Date: 29.04.2021 time: 15:35:43] | Player: 76561198280789118 Deposited 33074 on own account.
[Date: 29.04.2021 time: 15:36:03] | Player: 76561198280789118 withdrawed 33074 from own account.
[Date: 29.04.2021 time: 15:36:35] | Player: 76561198280789118 Deposited 29074 on own account.
[Date: 29.04.2021 time: 16:18:39] | Player: 76561199076812837 Deposited 25365 on own account.
[Date: 29.04.2021 time: 16:23:05] | Player: 76561198037023350 Deposited 20748 on own account.
[Date: 29.04.2021 time: 16:27:54] | Player: 76561198103994628 Deposited 2415 on own account.
[Date: 29.04.2021 time: 16:28:16] | Player: 76561197976576399 Deposited 69679 on own account.
[Date: 29.04.2021 time: 16:31:23] | Player: 76561199146161640 Deposited 77229 on own account.
[Date: 29.04.2021 time: 16:56:45] | Player: 76561198162344833 withdrawed 10000 from own account.
[Date: 29.04.2021 time: 16:57:22] | Player: 76561198162344833 Deposited 1100 on own account.
[Date: 29.04.2021 time: 17:23:34] | Player: 76561198223714820 Deposited 400 on own account.
