[Date: 23.04.2021 time: 02:05:01] | Succesfully started BankingLogger
[Date: 23.04.2021 time: 02:40:55] | Player: 76561198999593356 withdrawed 3000 from own account.
[Date: 23.04.2021 time: 02:43:21] | Player: 76561198162344833 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 02:44:20] | Player: 76561198999593356 withdrawed 25 from own account.
[Date: 23.04.2021 time: 02:44:53] | Player: 76561198999593356 withdrawed 0 from own account.
[Date: 23.04.2021 time: 02:44:55] | Player: 76561198999593356 withdrawed 0 from own account.
[Date: 23.04.2021 time: 02:45:05] | Player: 76561198999593356 withdrawed 0 from own account.
[Date: 23.04.2021 time: 02:45:12] | Player: 76561198999593356 withdrawed 0 from own account.
[Date: 23.04.2021 time: 02:45:18] | Player: 76561198999593356 withdrawed 100 from own account.
[Date: 23.04.2021 time: 02:46:22] | Player: 76561198999593356 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 02:46:53] | Player: 76561198162344833 Deposited 145 on own account.
[Date: 23.04.2021 time: 02:47:54] | Player: 76561198999593356 withdrawed 10000 from clan account.
[Date: 23.04.2021 time: 02:49:22] | Player: 76561198999593356 Deposited 6535 on own account.
