[Date: 21.04.2021 time: 15:57:12] | Succesfully started BankingLogger
[Date: 21.04.2021 time: 16:16:39] | Player: 76561199048973301 Deposited 20275 on own account.
[Date: 21.04.2021 time: 16:26:00] | Player: 76561199048973301 Deposited 3295 on own account.
[Date: 21.04.2021 time: 16:27:46] | Player: 76561198143912910 Deposited 9620 on own account.
[Date: 21.04.2021 time: 16:30:14] | Player: 76561199048973301 Deposited 2208 on own account.
[Date: 21.04.2021 time: 16:32:12] | Player: 76561198100717229 withdrawed 1000000 from own account.
[Date: 21.04.2021 time: 16:36:29] | Player: 76561197991428971 Deposited 25218 on own account.
[Date: 21.04.2021 time: 16:37:35] | Player: 76561198100717229 Deposited 853326 on own account.
[Date: 21.04.2021 time: 16:44:32] | Player: 76561197991428971 Deposited 550 on own account.
[Date: 21.04.2021 time: 16:55:46] | Player: 76561198979058621 Deposited 5100 on own account.
[Date: 21.04.2021 time: 16:57:08] | Player: 76561198979058621 Deposited 2325 on own account.
[Date: 21.04.2021 time: 16:57:30] | Player: 76561198086725669 Deposited 28492 on own account.
[Date: 21.04.2021 time: 16:58:06] | Player: 76561197991428971 Deposited 5650 on own account.
