[Date: 01.05.2021 time: 18:00:33] | Succesfully started BankingLogger
[Date: 01.05.2021 time: 18:15:42] | Player: 76561199156952824 Deposited 100 on own account.
[Date: 01.05.2021 time: 18:15:48] | Player: 76561199156952824 withdrawed 23000 from own account.
[Date: 01.05.2021 time: 18:16:03] | Player: 76561199122053225 withdrawed 70000 from own account.
[Date: 01.05.2021 time: 18:17:12] | Player: 76561198301100124 Deposited 34970 on own account.
[Date: 01.05.2021 time: 18:21:25] | Player: 76561199156952824 withdrawed 2000 from own account.
[Date: 01.05.2021 time: 18:22:39] | Player: 76561199156952824 Deposited 1320 on own account.
[Date: 01.05.2021 time: 18:29:28] | Player: 76561198333106484 withdrawed 5000 from own account.
[Date: 01.05.2021 time: 18:31:03] | Player: 76561198333106484 withdrawed 3350 from own account.
[Date: 01.05.2021 time: 18:31:05] | Player: 76561198333106484 Deposited 3350 on own account.
[Date: 01.05.2021 time: 18:31:07] | Player: 76561198333106484 Deposited 3350 on own account.
[Date: 01.05.2021 time: 18:31:47] | Player: 76561198081900587 Deposited 20795 on own account.
[Date: 01.05.2021 time: 18:37:00] | Player: 76561199148015671 Deposited 74259 on own account.
[Date: 01.05.2021 time: 18:37:33] | Player: 76561198037023350 Deposited 42420 on own account.
[Date: 01.05.2021 time: 18:37:41] | Player: 76561198103994628 withdrawed 41862 from own account.
[Date: 01.05.2021 time: 18:37:43] | Player: 76561198103994628 Deposited 135962 on own account.
[Date: 01.05.2021 time: 18:39:21] | Player: 76561199146161640 Deposited 108050 on own account.
[Date: 01.05.2021 time: 18:40:00] | Player: 76561199146161640 withdrawed 465000 from own account.
[Date: 01.05.2021 time: 18:41:25] | Player: 76561198103994628 withdrawed 135962 from own account.
[Date: 01.05.2021 time: 18:41:27] | Player: 76561198103994628 Deposited 137132 on own account.
[Date: 01.05.2021 time: 18:42:01] | Player: 76561198103994628 withdrawed 137132 from own account.
[Date: 01.05.2021 time: 18:43:26] | Player: 76561199146161640 withdrawed 100000 from own account.
[Date: 01.05.2021 time: 18:43:29] | Player: 76561199146161640 Deposited 10000 on own account.
[Date: 01.05.2021 time: 18:43:31] | Player: 76561199146161640 Deposited 10000 on own account.
[Date: 01.05.2021 time: 18:43:39] | Player: 76561199146161640 Deposited 70000 on own account.
[Date: 01.05.2021 time: 18:47:08] | Player: 76561198969225016 Deposited 43000 on own account.
[Date: 01.05.2021 time: 18:57:00] | Player: 76561197991428971 Deposited 2442 on own account.
[Date: 01.05.2021 time: 18:59:02] | Player: 76561197991428971 withdrawed 1000 from own account.
[Date: 01.05.2021 time: 19:00:48] | Player: 76561197991428971 withdrawed 5000 from own account.
[Date: 01.05.2021 time: 19:03:35] | Player: 76561199122053225 Deposited 38530 on own account.
[Date: 01.05.2021 time: 19:04:42] | Player: 76561198301100124 withdrawed 5825 from own account.
[Date: 01.05.2021 time: 19:05:07] | Player: 76561197991428971 withdrawed 15000 from own account.
[Date: 01.05.2021 time: 19:05:42] | Player: 76561197991428971 Deposited 515 on own account.
[Date: 01.05.2021 time: 19:06:29] | Player: 76561197991428971 Deposited 230 on own account.
[Date: 01.05.2021 time: 19:07:51] | Player: 76561198103994628 Deposited 9532 on own account.
