[Date: 03.05.2021 time: 15:00:36] | Succesfully started BankingLogger
[Date: 03.05.2021 time: 15:22:36] | Player: 76561199148015671 withdrawed 3000 from own account.
[Date: 03.05.2021 time: 15:40:27] | Player: 76561199082149727 Deposited 19535 on own account.
[Date: 03.05.2021 time: 15:51:14] | Player: 76561198223714820 Deposited 17700 on own account.
[Date: 03.05.2021 time: 15:56:41] | Player: 76561198421975055 Deposited 30713 on own account.
[Date: 03.05.2021 time: 16:02:41] | Player: 76561197976576399 Deposited 53856 on own account.
[Date: 03.05.2021 time: 16:03:16] | Player: 76561197976576399 withdrawed 50000 from own account.
[Date: 03.05.2021 time: 16:05:26] | Player: 76561197976576399 Deposited 26250 on own account.
[Date: 03.05.2021 time: 16:08:58] | Player: 76561198022860956 Deposited 11541 on own account.
[Date: 03.05.2021 time: 16:12:58] | Player: 76561198223714820 Deposited 907 on own account.
[Date: 03.05.2021 time: 16:15:51] | Player: 76561198152771835 withdrawed 1200 from own account.
[Date: 03.05.2021 time: 16:22:26] | Player: 76561197976576399 Deposited 21 on own account.
[Date: 03.05.2021 time: 16:25:11] | Player: 76561198035432577 Deposited 30400 on own account.
[Date: 03.05.2021 time: 16:28:33] | Player: 76561199156952824 Deposited 5137 on own account.
[Date: 03.05.2021 time: 16:43:39] | Player: 76561199082149727 Deposited 13812 on own account.
[Date: 03.05.2021 time: 16:46:53] | Player: 76561198421975055 Deposited 20085 on own account.
[Date: 03.05.2021 time: 16:49:45] | Player: 76561198096469059 withdrawed 3665 from own account.
[Date: 03.05.2021 time: 16:49:46] | Player: 76561198096469059 Deposited 3665 on own account.
[Date: 03.05.2021 time: 16:49:48] | Player: 76561198096469059 Deposited 3665 on own account.
[Date: 03.05.2021 time: 16:50:06] | Player: 76561198960953221 withdrawed 41206 from own account.
[Date: 03.05.2021 time: 16:50:07] | Player: 76561198960953221 Deposited 42123 on own account.
[Date: 03.05.2021 time: 16:52:17] | Player: 76561198096469059 withdrawed 10000 from own account.
[Date: 03.05.2021 time: 16:52:57] | Player: 76561198096469059 Deposited 9600 on own account.
[Date: 03.05.2021 time: 17:00:58] | Player: 76561199148015671 Deposited 25113 on own account.
[Date: 03.05.2021 time: 17:06:18] | Player: 76561199082149727 Deposited 88000 on own account.
[Date: 03.05.2021 time: 17:17:48] | Player: 76561198350617269 Deposited 41866 on own account.
[Date: 03.05.2021 time: 17:22:29] | Player: 76561199122053225 Deposited 26939 on own account.
[Date: 03.05.2021 time: 17:26:06] | Player: 76561198350617269 Deposited 41877 on own account.
[Date: 03.05.2021 time: 17:26:28] | Player: 76561199122053225 withdrawed 80 from own account.
[Date: 03.05.2021 time: 17:27:02] | Player: 76561199122053225 withdrawed 220 from own account.
[Date: 03.05.2021 time: 17:33:19] | Player: 76561198035432577 Deposited 2123 on own account.
[Date: 03.05.2021 time: 17:42:26] | Player: 76561198121538111 Deposited 2500 on own account.
[Date: 03.05.2021 time: 17:42:41] | Player: 76561198960953221 Deposited 5385 on own account.
[Date: 03.05.2021 time: 17:42:54] | Player: 76561198096469059 Deposited 1000 on own account.
[Date: 03.05.2021 time: 17:42:55] | Player: 76561198960953221 Deposited 0 on own account.
[Date: 03.05.2021 time: 17:43:51] | Player: 76561198096469059 withdrawed 11 from own account.
[Date: 03.05.2021 time: 17:43:53] | Player: 76561198096469059 Deposited 11 on own account.
[Date: 03.05.2021 time: 17:44:29] | Player: 76561198152771835 withdrawed 29 from own account.
[Date: 03.05.2021 time: 17:44:35] | Player: 76561198152771835 Deposited 29 on own account.
[Date: 03.05.2021 time: 17:44:58] | Player: 76561198960953221 Deposited 0 on own account.
[Date: 03.05.2021 time: 17:45:01] | Player: 76561198960953221 Deposited 0 on own account.
[Date: 03.05.2021 time: 17:45:05] | Player: 76561198960953221 withdrawed 47508 from own account.
[Date: 03.05.2021 time: 17:45:10] | Player: 76561198960953221 Deposited 47508 on own account.
[Date: 03.05.2021 time: 17:45:12] | Player: 76561198096469059 withdrawed 24349 from own account.
[Date: 03.05.2021 time: 17:45:16] | Player: 76561198096469059 withdrawed 0 from own account.
[Date: 03.05.2021 time: 17:45:18] | Player: 76561198960953221 Deposited 0 on own account.
[Date: 03.05.2021 time: 17:45:24] | Player: 76561198960953221 Deposited 0 on own account.
[Date: 03.05.2021 time: 17:45:26] | Player: 76561198096469059 Deposited 24349 on own account.
[Date: 03.05.2021 time: 17:45:41] | Player: 76561198096469059 Deposited 0 on own account.
[Date: 03.05.2021 time: 17:45:42] | Player: 76561198960953221 withdrawed 45000 from own account.
[Date: 03.05.2021 time: 17:45:42] | Player: 76561198096469059 Deposited 0 on own account.
[Date: 03.05.2021 time: 17:45:44] | Player: 76561198096469059 withdrawed 24349 from own account.
[Date: 03.05.2021 time: 17:45:54] | Player: 76561198096469059 Deposited 24349 on own account.
[Date: 03.05.2021 time: 17:46:42] | Player: 76561198096469059 withdrawed 24349 from own account.
[Date: 03.05.2021 time: 17:47:57] | Player: 76561198152771835 withdrawed 5529 from own account.
[Date: 03.05.2021 time: 17:49:49] | Player: 76561198096469059 withdrawed 0 from own account.
[Date: 03.05.2021 time: 17:49:51] | Player: 76561198096469059 Deposited 5229 on own account.
[Date: 03.05.2021 time: 17:53:01] | Player: 76561198960953221 Deposited 4089 on own account.
[Date: 03.05.2021 time: 17:53:10] | Player: 76561198960953221 withdrawed 4089 from own account.
[Date: 03.05.2021 time: 17:53:11] | Player: 76561198960953221 Deposited 4089 on own account.
[Date: 03.05.2021 time: 17:53:13] | Player: 76561198960953221 withdrawed 4089 from own account.
[Date: 03.05.2021 time: 17:53:14] | Player: 76561198960953221 Deposited 4089 on own account.
