[Date: 01.05.2021 time: 13:58:25] | Succesfully started BankingLogger
[Date: 01.05.2021 time: 14:05:02] | Player: 76561199121764782 Deposited 500 on own account.
[Date: 01.05.2021 time: 14:13:54] | Player: 76561198254602740 Deposited 25000 on own account.
[Date: 01.05.2021 time: 14:14:28] | Player: 76561199148015671 Deposited 31325 on own account.
[Date: 01.05.2021 time: 14:15:56] | Player: 76561198035432577 Deposited 21065 on own account.
[Date: 01.05.2021 time: 14:23:14] | Player: 76561198254602740 withdrawed 58365 from own account.
[Date: 01.05.2021 time: 14:27:42] | Player: 76561198350617269 Deposited 28210 on own account.
[Date: 01.05.2021 time: 14:30:59] | Player: 76561198350617269 withdrawed 2500 from own account.
[Date: 01.05.2021 time: 14:35:43] | Player: 76561198254602740 Deposited 47835 on own account.
[Date: 01.05.2021 time: 14:36:05] | Player: 76561198254602740 withdrawed 47835 from own account.
[Date: 01.05.2021 time: 14:38:14] | Player: 76561198254602740 Deposited 40115 on own account.
[Date: 01.05.2021 time: 14:40:40] | Player: 76561198350617269 Deposited 508 on own account.
[Date: 01.05.2021 time: 14:47:04] | Player: 76561198254602740 withdrawed 4015 from own account.
[Date: 01.05.2021 time: 14:47:12] | Player: 76561198254602740 withdrawed 36100 from own account.
[Date: 01.05.2021 time: 14:50:00] | Player: 76561198254602740 Deposited 27075 on own account.
[Date: 01.05.2021 time: 14:52:00] | Player: 76561198035432577 Deposited 2189 on own account.
[Date: 01.05.2021 time: 14:52:07] | Player: 76561198035432577 withdrawed 1000000 from own account.
[Date: 01.05.2021 time: 15:14:02] | Player: 76561198254602740 withdrawed 28075 from own account.
[Date: 01.05.2021 time: 15:14:06] | Player: 76561198350617269 Deposited 15862 on own account.
[Date: 01.05.2021 time: 15:14:55] | Player: 76561198254602740 Deposited 19955 on own account.
[Date: 01.05.2021 time: 15:15:09] | Player: 76561198254602740 withdrawed 1500 from own account.
[Date: 01.05.2021 time: 15:21:35] | Player: 76561197991428971 withdrawed 2000 from own account.
[Date: 01.05.2021 time: 15:21:57] | Player: 76561198332892999 Deposited 550 on own account.
[Date: 01.05.2021 time: 15:22:21] | Player: 76561198332892999 withdrawed 1000 from own account.
[Date: 01.05.2021 time: 15:26:55] | Player: 76561198332892999 Deposited 557 on own account.
