[Date: 24.04.2021 time: 02:01:29] | Succesfully started BankingLogger
[Date: 24.04.2021 time: 02:09:27] | Player: 76561197976576399 withdrawed 100541 from own account.
[Date: 24.04.2021 time: 02:10:12] | Player: 76561198065413312 withdrawed 750000 from own account.
[Date: 24.04.2021 time: 02:12:31] | Player: 76561198065413312 withdrawed 5000 from own account.
[Date: 24.04.2021 time: 02:18:59] | Player: 76561198162344833 withdrawed 50000 from own account.
[Date: 24.04.2021 time: 02:26:14] | Player: 76561197976576399 Deposited 98756 on own account.
[Date: 24.04.2021 time: 02:26:30] | Player: 76561198065413312 withdrawed 5000 from own account.
[Date: 24.04.2021 time: 02:27:39] | Player: 76561198068395829 Deposited 62 on own account.
[Date: 24.04.2021 time: 02:35:42] | Player: 76561197976576399 Deposited 700 on own account.
[Date: 24.04.2021 time: 02:36:19] | Player: 76561198067290448 withdrawed 5000 from own account.
[Date: 24.04.2021 time: 02:38:32] | Player: 76561198067290448 Deposited 3000 on own account.
[Date: 24.04.2021 time: 02:48:44] | Player: 76561198162344833 withdrawed 50000 from own account.
[Date: 24.04.2021 time: 02:53:18] | Player: 76561198068395829 withdrawed 2222 from own account.
