[Date: 24.04.2021 time: 06:01:00] | Succesfully started BankingLogger
[Date: 24.04.2021 time: 06:40:21] | Player: 76561198333106484 withdrawed 70000 from own account.
[Date: 24.04.2021 time: 06:40:23] | Player: 76561198333106484 Deposited 100000 on own account.
[Date: 24.04.2021 time: 06:40:34] | Player: 76561198333106484 Deposited 80000 on own account.
[Date: 24.04.2021 time: 06:43:25] | Player: 76561198999593356 withdrawed 10665 from own account.
[Date: 24.04.2021 time: 06:58:59] | Player: 76561198999593356 withdrawed 515 from clan account.
[Date: 24.04.2021 time: 06:59:29] | Player: 76561198999593356 withdrawed 640 from clan account.
[Date: 24.04.2021 time: 07:02:25] | Player: 76561198999593356 withdrawed 600 from own account.
[Date: 24.04.2021 time: 07:16:48] | Player: 76561198133603788 Deposited 240 on own account.
[Date: 24.04.2021 time: 07:58:05] | Player: 76561198133603788 Deposited 14076 on own account.
[Date: 24.04.2021 time: 09:30:07] | Player: 76561199076812837 Deposited 26225 on own account.
[Date: 24.04.2021 time: 09:33:41] | Player: 76561199116927487 Deposited 18453 on own account.
[Date: 24.04.2021 time: 09:37:44] | Player: 76561198043983035 withdrawed 20000 from own account.
[Date: 24.04.2021 time: 09:40:34] | Player: 76561199116927487 withdrawed 6000 from own account.
[Date: 24.04.2021 time: 09:45:27] | Player: 76561198284652800 Deposited 26865 on own account.
