[Date: 20.04.2021 time: 22:01:00] | Succesfully started BankingLogger
[Date: 20.04.2021 time: 22:02:12] | Player: 76561199048973301 Deposited 375 on own account.
[Date: 20.04.2021 time: 22:06:01] | Player: 76561199048973301 Deposited 1125 on own account.
[Date: 20.04.2021 time: 22:18:55] | Player: 76561198281045032 Deposited 8907 on own account.
[Date: 20.04.2021 time: 22:25:11] | Player: 76561198969225016 withdrawed 1000000 from own account.
[Date: 20.04.2021 time: 22:30:30] | Player: 76561199148015671 Deposited 158 on own account.
[Date: 20.04.2021 time: 22:38:03] | Player: 76561198281045032 withdrawed 4000 from own account.
[Date: 20.04.2021 time: 22:38:28] | Player: 76561198054302263 withdrawed 0 from own account.
[Date: 20.04.2021 time: 22:38:29] | Player: 76561198054302263 withdrawed 0 from own account.
[Date: 20.04.2021 time: 22:38:30] | Player: 76561198054302263 withdrawed 0 from own account.
[Date: 20.04.2021 time: 22:38:32] | Player: 76561198281045032 withdrawed 1000 from own account.
[Date: 20.04.2021 time: 22:38:34] | Player: 76561198054302263 withdrawed 0 from own account.
[Date: 20.04.2021 time: 22:38:35] | Player: 76561198054302263 withdrawed 0 from own account.
[Date: 20.04.2021 time: 22:38:47] | Player: 76561198054302263 withdrawed 0 from own account.
[Date: 20.04.2021 time: 22:39:00] | Player: 76561198054302263 withdrawed 0 from own account.
[Date: 20.04.2021 time: 22:39:06] | Player: 76561198054302263 withdrawed 0 from own account.
[Date: 20.04.2021 time: 22:42:42] | Player: 76561198054302263 withdrawed 41451 from own account.
[Date: 20.04.2021 time: 22:43:00] | Player: 76561198054302263 Deposited 41551 on own account.
[Date: 20.04.2021 time: 22:43:01] | Player: 76561198054302263 withdrawed 41551 from own account.
[Date: 20.04.2021 time: 22:45:55] | Player: 76561198081586318 withdrawed 111111 from own account.
[Date: 20.04.2021 time: 22:46:39] | Player: 76561199148015671 withdrawed 30000 from own account.
[Date: 20.04.2021 time: 22:52:42] | Player: 76561198081586318 Deposited 104861 on own account.
[Date: 20.04.2021 time: 22:52:50] | Player: 76561198081586318 withdrawed 2000 from own account.
[Date: 20.04.2021 time: 23:09:42] | Player: 76561198059393283 withdrawed 1000 from own account.
[Date: 20.04.2021 time: 23:15:19] | Player: 76561198059393283 Deposited 2288 on own account.
