[Date: 21.04.2021 time: 17:07:44] | Succesfully started BankingLogger
[Date: 21.04.2021 time: 17:17:24] | Player: 76561198086725669 Deposited 8600 on own account.
[Date: 21.04.2021 time: 17:26:01] | Player: 76561199148015671 Deposited 20499 on own account.
[Date: 21.04.2021 time: 17:26:02] | Player: 76561198086725669 withdrawed 7000 from own account.
[Date: 21.04.2021 time: 17:29:38] | Player: 76561197991428971 withdrawed 5000 from own account.
[Date: 21.04.2021 time: 17:31:20] | Player: 76561198037023350 withdrawed 12000 from own account.
[Date: 21.04.2021 time: 17:31:57] | Player: 76561199148015671 Deposited 227 on own account.
[Date: 21.04.2021 time: 17:37:08] | Player: 76561199048973301 Deposited 23910 on own account.
[Date: 21.04.2021 time: 17:39:16] | Player: 76561198086725669 Deposited 4100 on own account.
[Date: 21.04.2021 time: 17:40:01] | Player: 76561198979058621 Deposited 200 on own account.
[Date: 21.04.2021 time: 17:41:50] | Player: 76561198979058621 withdrawed 1000 from own account.
[Date: 21.04.2021 time: 17:41:58] | Player: 76561197991428971 Deposited 5989 on own account.
[Date: 21.04.2021 time: 17:42:30] | Player: 76561198979058621 withdrawed 1500 from own account.
[Date: 21.04.2021 time: 17:44:57] | Player: 76561197991428971 withdrawed 5000 from own account.
[Date: 21.04.2021 time: 17:46:18] | Player: 76561197991428971 withdrawed 400 from own account.
[Date: 21.04.2021 time: 17:46:47] | Player: 76561197991428971 withdrawed 1000 from own account.
[Date: 21.04.2021 time: 17:46:51] | Player: 76561197991428971 withdrawed 2000 from own account.
[Date: 21.04.2021 time: 17:47:39] | Player: 76561197991428971 Deposited 1750 on own account.
[Date: 21.04.2021 time: 17:53:03] | Player: 76561198086725669 Deposited 18000 on own account.
[Date: 21.04.2021 time: 17:53:03] | Player: 76561198979058621 Deposited 3000 on own account.
[Date: 21.04.2021 time: 17:53:53] | Player: 76561198086725669 withdrawed 5000 from own account.
[Date: 21.04.2021 time: 17:53:57] | Player: 76561198086725669 joined the Clan Banking Account: expanding-horizon-community
[Date: 21.04.2021 time: 17:53:57] | Player: 76561198086725669 Created Clan: expanding-horizon-community
[Date: 21.04.2021 time: 17:56:06] | Player: 76561199148015671 Deposited 1450 on own account.
