[Date: 24.04.2021 time: 03:03:06] | Succesfully started BankingLogger
[Date: 24.04.2021 time: 03:08:35] | Player: 76561198162344833 Deposited 32895 on own account.
[Date: 24.04.2021 time: 03:20:50] | Player: 76561198068395829 Deposited 2182 on own account.
[Date: 24.04.2021 time: 03:24:21] | Player: 76561198333106484 withdrawed 2000 from own account.
[Date: 24.04.2021 time: 03:36:19] | Player: 76561198333106484 withdrawed 0 from own account.
[Date: 24.04.2021 time: 03:36:24] | Player: 76561198333106484 Deposited 15261 on own account.
[Date: 24.04.2021 time: 03:36:26] | Player: 76561198333106484 withdrawed 15261 from own account.
[Date: 24.04.2021 time: 03:36:34] | Player: 76561198333106484 Deposited 15261 on own account.
[Date: 24.04.2021 time: 04:02:24] | Player: 76561198333106484 withdrawed 15261 from own account.
[Date: 24.04.2021 time: 04:02:26] | Player: 76561198333106484 Deposited 300000 on own account.
[Date: 24.04.2021 time: 04:11:11] | Player: 76561198333106484 withdrawed 20000 from own account.
[Date: 24.04.2021 time: 04:21:11] | Player: 76561198333106484 withdrawed 10000 from own account.
[Date: 24.04.2021 time: 04:27:15] | Player: 76561198333106484 withdrawed 200000 from own account.
[Date: 24.04.2021 time: 05:23:59] | Player: 76561198214237033 Deposited 18950 on own account.
