[Date: 27.04.2021 time: 21:12:16] | Succesfully started BankingLogger
[Date: 27.04.2021 time: 21:15:39] | Player: 76561198179214070 withdrawed 1000 from own account.
[Date: 27.04.2021 time: 21:15:40] | Player: 76561198179214070 withdrawed 1000 from own account.
[Date: 27.04.2021 time: 21:18:09] | Player: 76561198067290448 withdrawed 5000 from own account.
[Date: 27.04.2021 time: 21:20:13] | Player: 76561198067290448 Deposited 3000 on own account.
[Date: 27.04.2021 time: 21:24:11] | Player: 76561198100717229 Deposited 79210 on own account.
[Date: 27.04.2021 time: 21:25:17] | Player: 76561198100717229 withdrawed 20000 from own account.
[Date: 27.04.2021 time: 21:25:51] | Player: 76561198100717229 Deposited 19600 on own account.
[Date: 27.04.2021 time: 21:28:08] | Player: 76561197976576399 Deposited 83 on own account.
[Date: 27.04.2021 time: 21:38:40] | Player: 76561197976576399 Deposited 5530 on own account.
[Date: 27.04.2021 time: 21:38:50] | Player: 76561198999593356 withdrawed 1200 from own account.
[Date: 27.04.2021 time: 21:46:12] | Player: 76561198067290448 Deposited 14950 on own account.
[Date: 27.04.2021 time: 21:46:45] | Player: 76561199116927487 deposited 69480 on clan account.
[Date: 27.04.2021 time: 21:48:38] | Player: 76561198042235031 Deposited 2743 on own account.
[Date: 27.04.2021 time: 21:58:04] | Player: 76561198067290448 Deposited 5000 on own account.
