[Date: 28.04.2021 time: 14:18:16] | Succesfully started BankingLogger
[Date: 28.04.2021 time: 14:31:50] | Player: 76561197976576399 Deposited 9870 on own account.
[Date: 28.04.2021 time: 14:34:15] | Player: 76561199076812837 Deposited 25570 on own account.
[Date: 28.04.2021 time: 14:36:47] | Player: 76561197976576399 Deposited 18 on own account.
[Date: 28.04.2021 time: 14:53:51] | Player: 76561198969225016 withdrawed 40000 from own account.
[Date: 28.04.2021 time: 14:54:00] | Player: 76561198969225016 withdrawed 31780 from own account.
[Date: 28.04.2021 time: 15:41:46] | Player: 76561198223714820 Deposited 114700 on own account.
[Date: 28.04.2021 time: 15:56:47] | Player: 76561199156952824 Deposited 12929 on own account.
[Date: 28.04.2021 time: 15:58:32] | Player: 76561199156952824 Deposited 1650 on own account.
[Date: 28.04.2021 time: 16:11:30] | Player: 76561197976576399 Deposited 11118 on own account.
[Date: 28.04.2021 time: 16:47:05] | Player: 76561197976576399 Deposited 100 on own account.
[Date: 28.04.2021 time: 17:05:00] | Player: 76561198254602740 Deposited 1450 on own account.
[Date: 28.04.2021 time: 17:29:56] | Player: 76561198254602740 withdrawed 3006 from own account.
[Date: 28.04.2021 time: 17:30:16] | Player: 76561198254602740 Deposited 6 on own account.
[Date: 28.04.2021 time: 17:30:30] | Player: 76561198035432577 Deposited 251018 on own account.
[Date: 28.04.2021 time: 17:31:51] | Player: 76561198254602740 withdrawed 1000 from own account.
[Date: 28.04.2021 time: 17:31:56] | Player: 76561198035432577 joined the Clan Banking Account: Misfits
[Date: 28.04.2021 time: 17:32:30] | Player: 76561198035432577 PermissionsUpdated! from clan: Misfits
[Date: 28.04.2021 time: 17:34:10] | Player: 76561198035432577 withdrawed 5000 from own account.
[Date: 28.04.2021 time: 17:34:14] | Player: 76561198035432577 deposited 100 on clan account.
[Date: 28.04.2021 time: 17:36:44] | Player: 76561198035432577 Deposited 5120 on own account.
[Date: 28.04.2021 time: 17:46:35] | Player: 76561199121764782 Deposited 15800 on own account.
[Date: 28.04.2021 time: 17:49:14] | Player: 76561198254602740 Deposited 860 on own account.
[Date: 28.04.2021 time: 17:50:43] | Player: 76561198035432577 deposited 128 on clan account.
[Date: 28.04.2021 time: 17:55:01] | Player: 76561198035432577 withdrawed 2000 from own account.
