[Date: 29.04.2021 time: 10:00:56] | Succesfully started BankingLogger
[Date: 29.04.2021 time: 10:20:22] | Player: 76561198037023350 Deposited 8448 on own account.
[Date: 29.04.2021 time: 10:23:36] | Player: 76561198198409010 Deposited 64745 on own account.
[Date: 29.04.2021 time: 10:25:17] | Player: 76561198037023350 Deposited 33720 on own account.
[Date: 29.04.2021 time: 10:34:26] | Player: 76561198037023350 Deposited 9350 on own account.
[Date: 29.04.2021 time: 10:45:07] | Player: 76561198037023350 Deposited 400 on own account.
[Date: 29.04.2021 time: 10:45:58] | Player: 76561198223714820 Deposited 11150 on own account.
[Date: 29.04.2021 time: 10:50:55] | Player: 76561199146161640 withdrawed 64145 from own account.
[Date: 29.04.2021 time: 10:53:03] | Player: 76561199146161640 Deposited 45847 on own account.
[Date: 29.04.2021 time: 10:57:16] | Player: 76561197976576399 withdrawed 183012 from own account.
[Date: 29.04.2021 time: 11:10:51] | Player: 76561197976576399 Deposited 171457 on own account.
[Date: 29.04.2021 time: 11:14:09] | Player: 76561198223714820 withdrawed 500 from own account.
[Date: 29.04.2021 time: 11:14:36] | Player: 76561198999593356 withdrawed 50000 from own account.
[Date: 29.04.2021 time: 12:02:15] | Player: 76561198999593356 withdrawed 100000 from own account.
[Date: 29.04.2021 time: 12:27:27] | Player: 76561198999593356 Deposited 39950 on own account.
[Date: 29.04.2021 time: 12:37:37] | Player: 76561198037023350 Deposited 4100 on own account.
[Date: 29.04.2021 time: 12:38:13] | Player: 76561197976576399 withdrawed 171457 from own account.
[Date: 29.04.2021 time: 12:38:40] | Player: 76561197976576399 Deposited 165457 on own account.
[Date: 29.04.2021 time: 13:02:24] | Player: 76561198223714820 Deposited 105225 on own account.
[Date: 29.04.2021 time: 13:15:15] | Player: 76561199146161640 Deposited 93204 on own account.
[Date: 29.04.2021 time: 13:21:41] | Player: 76561197976576399 Deposited 8698 on own account.
[Date: 29.04.2021 time: 13:36:22] | Player: 76561198037023350 Deposited 11282 on own account.
[Date: 29.04.2021 time: 13:48:00] | Player: 76561198223714820 withdrawed 360 from own account.
[Date: 29.04.2021 time: 13:48:30] | Player: 76561198223714820 withdrawed 1000 from own account.
[Date: 29.04.2021 time: 13:48:34] | Player: 76561198037023350 Deposited 42515 on own account.
[Date: 29.04.2021 time: 13:49:35] | Player: 76561198396489573 joined the Clan Banking Account: Turkish Special Team
[Date: 29.04.2021 time: 13:49:47] | Player: 76561198396489573 PermissionsUpdated! from clan: Turkish Special Team
[Date: 29.04.2021 time: 13:49:55] | Player: 76561198037023350 Deposited 13450 on own account.
[Date: 29.04.2021 time: 13:50:23] | Player: 76561198421975055 Deposited 15300 on own account.
[Date: 29.04.2021 time: 13:51:02] | Player: 76561198396489573 withdrawed 50000 from own account.
[Date: 29.04.2021 time: 13:51:13] | Player: 76561198396489573 withdrawed 0 from own account.
[Date: 29.04.2021 time: 13:51:31] | Player: 76561198396489573 withdrawed 100000 from own account.
[Date: 29.04.2021 time: 13:51:37] | Player: 76561198396489573 deposited 150000 on clan account.
[Date: 29.04.2021 time: 13:58:38] | Player: 76561198421975055 withdrawed 20 from own account.
