[Date: 27.04.2021 time: 14:01:02] | Succesfully started BankingLogger
[Date: 27.04.2021 time: 14:25:27] | Player: 76561198254602740 withdrawed 7000 from clan account.
[Date: 27.04.2021 time: 14:25:57] | Player: 76561198254602740 deposited 1500 on clan account.
[Date: 27.04.2021 time: 14:40:43] | Player: 76561198042235031 Deposited 2900 on own account.
[Date: 27.04.2021 time: 14:45:00] | Player: 76561199076812837 withdrawed 700 from own account.
[Date: 27.04.2021 time: 14:45:58] | Player: 76561199076812837 Deposited 500 on own account.
[Date: 27.04.2021 time: 14:50:58] | Player: 76561197965508404 Deposited 224600 on own account.
[Date: 27.04.2021 time: 15:14:27] | Player: 76561198099487602 Deposited 9078 on own account.
[Date: 27.04.2021 time: 15:15:04] | Player: 76561198099487602 withdrawed 5000 from own account.
[Date: 27.04.2021 time: 15:15:47] | Player: 76561198099487602 Deposited 3800 on own account.
[Date: 27.04.2021 time: 15:47:03] | Player: 76561198254602740 withdrawed 4013 from own account.
[Date: 27.04.2021 time: 15:48:13] | Player: 76561198254602740 withdrawed 1943 from clan account.
[Date: 27.04.2021 time: 15:49:07] | Player: 76561198254602740 Deposited 1556 on own account.
[Date: 27.04.2021 time: 15:50:50] | Player: 76561198100717229 Deposited 850 on own account.
[Date: 27.04.2021 time: 15:50:55] | Player: 76561198100717229 withdrawed 20000 from own account.
[Date: 27.04.2021 time: 16:00:58] | Player: 76561198081900587 Deposited 26500 on own account.
[Date: 27.04.2021 time: 16:13:38] | Player: 76561198081900587 Deposited 4605 on own account.
[Date: 27.04.2021 time: 16:34:05] | Player: 76561198035432577 withdrawed 30000 from own account.
[Date: 27.04.2021 time: 16:42:01] | Player: 76561198042235031 Deposited 24502 on own account.
[Date: 27.04.2021 time: 16:44:21] | Player: 76561198042235031 Deposited 1750 on own account.
[Date: 27.04.2021 time: 16:44:41] | Player: 76561198042235031 withdrawed 5000 from own account.
[Date: 27.04.2021 time: 16:44:47] | Player: 76561198042235031 deposited 5000 on clan account.
[Date: 27.04.2021 time: 16:45:03] | Player: 76561198037023350 Deposited 10659 on own account.
[Date: 27.04.2021 time: 16:48:25] | Player: 76561198037023350 Deposited 14300 on own account.
[Date: 27.04.2021 time: 16:54:33] | Player: 76561198037023350 Deposited 6250 on own account.
[Date: 27.04.2021 time: 16:57:31] | Player: 76561198037023350 Deposited 3625 on own account.
[Date: 27.04.2021 time: 16:59:39] | Player: 76561198100717229 Deposited 925 on own account.
[Date: 27.04.2021 time: 17:00:20] | Player: 76561198042235031 Deposited 312 on own account.
[Date: 27.04.2021 time: 17:04:24] | Player: 76561197965508404 withdrawed 30000 from own account.
[Date: 27.04.2021 time: 17:05:16] | Player: 76561197965508404 Deposited 24200 on own account.
[Date: 27.04.2021 time: 17:22:40] | Player: 76561199121764782 Deposited 27347 on own account.
[Date: 27.04.2021 time: 17:25:18] | Player: 76561199121764782 Deposited 3600 on own account.
[Date: 27.04.2021 time: 17:40:55] | Player: 76561199156952824 Deposited 13200 on own account.
