[Date: 02.05.2021 time: 02:00:30] | Succesfully started BankingLogger
[Date: 02.05.2021 time: 02:16:17] | Player: 76561198099487602 Deposited 13345 on own account.
[Date: 02.05.2021 time: 02:37:29] | Player: 76561198099487602 withdrawed 2000 from own account.
[Date: 02.05.2021 time: 03:36:53] | Player: 76561199156952824 Deposited 30790 on own account.
[Date: 02.05.2021 time: 03:39:42] | Player: 76561199156952824 Deposited 2700 on own account.
[Date: 02.05.2021 time: 03:45:49] | Player: 76561198223714820 Deposited 33100 on own account.
[Date: 02.05.2021 time: 03:46:06] | Player: 76561198099487602 Deposited 10513 on own account.
[Date: 02.05.2021 time: 04:13:29] | Player: 76561197976576399 Deposited 30125 on own account.
[Date: 02.05.2021 time: 04:14:40] | Player: 76561197976576399 withdrawed 911706 from own account.
[Date: 02.05.2021 time: 04:18:08] | Player: 76561197976576399 Deposited 908056 on own account.
[Date: 02.05.2021 time: 04:50:40] | Player: 76561199156952824 Deposited 16495 on own account.
