[Date: 27.04.2021 time: 02:03:31] | Succesfully started BankingLogger
[Date: 27.04.2021 time: 02:24:30] | Player: 76561198035432577 Deposited 18135 on own account.
[Date: 27.04.2021 time: 02:31:11] | Player: 76561199128139154 Deposited 7490 on own account.
[Date: 27.04.2021 time: 02:40:37] | Player: 76561198035432577 Deposited 12055 on own account.
[Date: 27.04.2021 time: 02:42:28] | Player: 76561199128139154 withdrawed 500 from own account.
[Date: 27.04.2021 time: 02:42:30] | Player: 76561199128139154 withdrawed 500 from own account.
[Date: 27.04.2021 time: 02:44:30] | Player: 76561199128139154 withdrawed 400 from own account.
[Date: 27.04.2021 time: 02:44:31] | Player: 76561199128139154 withdrawed 400 from own account.
[Date: 27.04.2021 time: 02:44:32] | Player: 76561199128139154 withdrawed 400 from own account.
[Date: 27.04.2021 time: 02:44:47] | Player: 76561198042235031 Deposited 24469 on own account.
[Date: 27.04.2021 time: 02:45:37] | Player: 76561198035432577 withdrawed 5000 from own account.
[Date: 27.04.2021 time: 02:46:59] | Player: 76561198042235031 Deposited 2115 on own account.
[Date: 27.04.2021 time: 02:52:12] | Player: 76561198042235031 withdrawed 1000 from own account.
[Date: 27.04.2021 time: 03:59:19] | Player: 76561198013080573 Deposited 11894 on own account.
