[Date: 25.04.2021 time: 02:02:35] | Succesfully started BankingLogger
[Date: 25.04.2021 time: 02:11:08] | Player: 76561198999593356 withdrawed 11415 from own account.
[Date: 25.04.2021 time: 02:16:15] | Player: 76561198999593356 withdrawed 20000 from own account.
[Date: 25.04.2021 time: 02:19:34] | Player: 76561198013080573 withdrawed 10000 from own account.
[Date: 25.04.2021 time: 02:19:40] | Player: 76561198013080573 deposited 10000 on clan account.
[Date: 25.04.2021 time: 02:21:55] | Player: 76561198035432577 Deposited 260 on own account.
[Date: 25.04.2021 time: 02:30:44] | Player: 76561198999593356 Deposited 29948 on own account.
[Date: 25.04.2021 time: 02:33:23] | Player: 76561198013080573 Deposited 1738 on own account.
[Date: 25.04.2021 time: 02:40:41] | Player: 76561198999593356 withdrawed 5000 from own account.
[Date: 25.04.2021 time: 02:43:11] | Player: 76561199116927487 Deposited 66081 on own account.
[Date: 25.04.2021 time: 02:47:27] | Player: 76561198999593356 Deposited 11865 on own account.
[Date: 25.04.2021 time: 03:06:32] | Player: 76561199116927487 withdrawed 5000 from own account.
[Date: 25.04.2021 time: 03:07:07] | Player: 76561199116927487 joined the Clan Banking Account: We Were Banjoed 
[Date: 25.04.2021 time: 03:07:07] | Player: 76561199116927487 Created Clan: We Were Banjoed 
[Date: 25.04.2021 time: 03:07:23] | Player: 76561198162344833 Deposited 1000 on own account.
[Date: 25.04.2021 time: 03:25:14] | Player: 76561198162344833 withdrawed 20000 from own account.
[Date: 25.04.2021 time: 03:25:51] | Player: 76561198162344833 Deposited 18600 on own account.
[Date: 25.04.2021 time: 03:26:14] | Player: 76561198162344833 withdrawed 2000 from own account.
[Date: 25.04.2021 time: 03:29:48] | Player: 76561198162344833 withdrawed 59000 from own account.
[Date: 25.04.2021 time: 03:31:57] | Player: 76561198162344833 Deposited 58495 on own account.
