[Date: 03.05.2021 time: 06:00:33] | Succesfully started BankingLogger
[Date: 03.05.2021 time: 06:27:54] | Player: 76561198099487602 Deposited 70865 on own account.
[Date: 03.05.2021 time: 06:43:36] | Player: 76561198022860956 Deposited 21660 on own account.
[Date: 03.05.2021 time: 06:54:25] | Player: 76561199156952824 Deposited 200 on own account.
[Date: 03.05.2021 time: 06:55:21] | Player: 76561199156952824 withdrawed 0 from own account.
[Date: 03.05.2021 time: 06:55:25] | Player: 76561199156952824 withdrawed 0 from own account.
[Date: 03.05.2021 time: 06:55:31] | Player: 76561199156952824 withdrawed 0 from own account.
[Date: 03.05.2021 time: 06:55:34] | Player: 76561199156952824 withdrawed 0 from own account.
[Date: 03.05.2021 time: 06:55:47] | Player: 76561199156952824 withdrawed 0 from own account.
[Date: 03.05.2021 time: 06:56:07] | Player: 76561199156952824 withdrawed 0 from own account.
[Date: 03.05.2021 time: 06:56:13] | Player: 76561199156952824 withdrawed 0 from own account.
[Date: 03.05.2021 time: 06:56:35] | Player: 76561199156952824 withdrawed 0 from own account.
[Date: 03.05.2021 time: 06:56:40] | Player: 76561199156952824 withdrawed 0 from own account.
[Date: 03.05.2021 time: 06:56:56] | Player: 76561199156952824 withdrawed 35000 from own account.
[Date: 03.05.2021 time: 07:48:19] | Player: 76561198022860956 Deposited 15000 on own account.
[Date: 03.05.2021 time: 07:54:46] | Player: 76561198037023350 withdrawed 2000 from own account.
[Date: 03.05.2021 time: 08:09:40] | Player: 76561198037023350 Deposited 1562 on own account.
[Date: 03.05.2021 time: 08:58:27] | Player: 76561198152771835 Deposited 18375 on own account.
[Date: 03.05.2021 time: 09:02:14] | Player: 76561199156952824 Deposited 21560 on own account.
[Date: 03.05.2021 time: 09:03:40] | Player: 76561199156952824 Deposited 52 on own account.
[Date: 03.05.2021 time: 09:08:45] | Player: 76561199156952824 withdrawed 1000 from own account.
[Date: 03.05.2021 time: 09:10:54] | Player: 76561198037023350 Deposited 16865 on own account.
[Date: 03.05.2021 time: 09:12:04] | Player: 76561199156952824 withdrawed 900 from own account.
[Date: 03.05.2021 time: 09:15:05] | Player: 76561199156952824 Deposited 250 on own account.
[Date: 03.05.2021 time: 09:17:58] | Player: 76561199156952824 Deposited 300 on own account.
