[Date: 22.04.2021 time: 10:01:26] | Succesfully started BankingLogger
[Date: 22.04.2021 time: 10:06:38] | Player: 76561198178703862 withdrawed 2000 from own account.
[Date: 22.04.2021 time: 10:15:37] | Player: 76561198178703862 Deposited 245 on own account.
[Date: 22.04.2021 time: 10:34:22] | Player: 76561198152771835 withdrawed 20000 from own account.
[Date: 22.04.2021 time: 10:35:41] | Player: 76561198178703862 withdrawed 2000 from own account.
[Date: 22.04.2021 time: 10:36:57] | Player: 76561198152771835 Deposited 7200 on own account.
[Date: 22.04.2021 time: 10:37:28] | Player: 76561198178703862 Deposited 838 on own account.
[Date: 22.04.2021 time: 10:37:34] | Player: 76561198152771835 Deposited 500 on own account.
[Date: 22.04.2021 time: 10:46:57] | Player: 76561198223714820 Deposited 13200 on own account.
[Date: 22.04.2021 time: 10:47:28] | Player: 76561198081900587 Deposited 13549 on own account.
[Date: 22.04.2021 time: 10:56:14] | Player: 76561198016450533 withdrawed 301 from own account.
[Date: 22.04.2021 time: 10:57:55] | Player: 76561199148015671 Deposited 15885 on own account.
[Date: 22.04.2021 time: 11:07:46] | Player: 76561197991428971 withdrawed 30000 from own account.
[Date: 22.04.2021 time: 11:12:47] | Player: 76561198016450533 withdrawed 1095 from own account.
[Date: 22.04.2021 time: 11:12:57] | Player: 76561198042235031 withdrawed 5250 from own account.
[Date: 22.04.2021 time: 11:12:59] | Player: 76561198042235031 Deposited 5250 on own account.
[Date: 22.04.2021 time: 11:13:07] | Player: 76561198042235031 Deposited 5250 on own account.
[Date: 22.04.2021 time: 11:15:06] | Player: 76561198016450533 Deposited 2000 on own account.
[Date: 22.04.2021 time: 11:15:16] | Player: 76561197991428971 Deposited 22800 on own account.
[Date: 22.04.2021 time: 11:23:35] | Player: 76561198016450533 Deposited 103 on own account.
[Date: 22.04.2021 time: 11:32:01] | Player: 76561197976576399 withdrawed 13949 from own account.
[Date: 22.04.2021 time: 11:44:59] | Player: 76561197976576399 Deposited 12640 on own account.
[Date: 22.04.2021 time: 11:45:09] | Player: 76561198067290448 Deposited 17643 on own account.
[Date: 22.04.2021 time: 11:46:02] | Player: 76561198067290448 Deposited 250 on own account.
[Date: 22.04.2021 time: 11:52:17] | Player: 76561198042235031 withdrawed 20000 from own account.
[Date: 22.04.2021 time: 11:54:07] | Player: 76561198396489573 withdrawed 50000 from own account.
[Date: 22.04.2021 time: 12:00:37] | Player: 76561198042235031 withdrawed 3000 from own account.
[Date: 22.04.2021 time: 12:01:24] | Player: 76561198152771835 Deposited 750 on own account.
[Date: 22.04.2021 time: 12:03:53] | Player: 76561197991428971 Deposited 2400 on own account.
[Date: 22.04.2021 time: 12:04:02] | Player: 76561197991428971 withdrawed 2000 from own account.
[Date: 22.04.2021 time: 12:05:34] | Player: 76561198396489573 Deposited 42032 on own account.
[Date: 22.04.2021 time: 12:05:45] | Player: 76561197991428971 Deposited 1974 on own account.
