[Date: 21.04.2021 time: 06:01:30] | Succesfully started BankingLogger
[Date: 21.04.2021 time: 06:23:24] | Player: 76561198037023350 Deposited 4755 on own account.
[Date: 21.04.2021 time: 06:47:18] | Player: 76561198421975055 withdrawed 5000 from own account.
[Date: 21.04.2021 time: 06:48:06] | Player: 76561198421975055 withdrawed 10000 from own account.
[Date: 21.04.2021 time: 06:52:47] | Player: 76561198421975055 withdrawed 5000 from own account.
[Date: 21.04.2021 time: 06:53:22] | Player: 76561198421975055 withdrawed 20000 from own account.
[Date: 21.04.2021 time: 07:05:44] | Player: 76561197965508404 Deposited 705 on own account.
[Date: 21.04.2021 time: 08:14:38] | Player: 76561198421975055 Deposited 39055 on own account.
[Date: 21.04.2021 time: 08:14:52] | Player: 76561198421975055 withdrawed 750000 from own account.
[Date: 21.04.2021 time: 08:15:13] | Player: 76561198421975055 withdrawed 10000 from own account.
[Date: 21.04.2021 time: 08:20:54] | Player: 76561198421975055 withdrawed 15000 from own account.
[Date: 21.04.2021 time: 08:29:29] | Player: 76561198421975055 Deposited 6320 on own account.
[Date: 21.04.2021 time: 08:30:30] | Player: 76561198421975055 withdrawed 5000 from own account.
[Date: 21.04.2021 time: 08:46:14] | Player: 76561198037023350 Deposited 13845 on own account.
[Date: 21.04.2021 time: 08:57:55] | Player: 76561197965508404 Deposited 24572 on own account.
[Date: 21.04.2021 time: 08:58:55] | Player: 76561197965508404 withdrawed 30000 from own account.
[Date: 21.04.2021 time: 09:03:09] | Player: 76561197965508404 Deposited 14150 on own account.
[Date: 21.04.2021 time: 09:08:40] | Player: 76561198037023350 Deposited 13580 on own account.
[Date: 21.04.2021 time: 09:20:11] | Player: 76561198037023350 Deposited 13390 on own account.
[Date: 21.04.2021 time: 09:34:19] | Player: 76561199148015671 Deposited 22548 on own account.
[Date: 21.04.2021 time: 09:36:21] | Player: 76561199148015671 withdrawed 1000 from own account.
