[Date: 05.05.2021 time: 15:11:25] | Succesfully started BankingLogger
[Date: 05.05.2021 time: 15:53:06] | Player: 76561199146161640 withdrawed 10000 from own account.
[Date: 05.05.2021 time: 15:54:37] | Player: 76561199146161640 Deposited 4000 on own account.
[Date: 05.05.2021 time: 15:57:07] | Player: 76561198103994628 withdrawed 2500 from own account.
[Date: 05.05.2021 time: 16:09:25] | Player: 76561199146161640 withdrawed 1604686 from own account.
[Date: 05.05.2021 time: 16:11:42] | Player: 76561199146161640 Deposited 99186 on own account.
[Date: 05.05.2021 time: 16:12:31] | Player: 76561199146161640 withdrawed 50000 from own account.
[Date: 05.05.2021 time: 16:13:41] | Player: 76561199146161640 Deposited 49100 on own account.
[Date: 05.05.2021 time: 16:14:30] | Player: 76561198103994628 withdrawed 30000 from own account.
[Date: 05.05.2021 time: 16:16:34] | Player: 76561198103994628 Deposited 26000 on own account.
[Date: 05.05.2021 time: 16:31:14] | Player: 76561198103994628 withdrawed 2500 from own account.
[Date: 05.05.2021 time: 16:31:23] | Player: 76561199146161640 withdrawed 10000 from own account.
[Date: 05.05.2021 time: 16:32:01] | Player: 76561198103994628 Deposited 1000 on own account.
[Date: 05.05.2021 time: 16:32:06] | Player: 76561199146161640 Deposited 9000 on own account.
[Date: 05.05.2021 time: 16:32:21] | Player: 76561199146161640 withdrawed 1000 from own account.
[Date: 05.05.2021 time: 16:32:48] | Player: 76561199146161640 Deposited 600 on own account.
[Date: 05.05.2021 time: 16:34:48] | Player: 76561198946609183 Deposited 53000 on own account.
[Date: 05.05.2021 time: 16:40:54] | Player: 76561199166448618 withdrawed 4000 from own account.
[Date: 05.05.2021 time: 16:44:26] | Player: 76561198350617269 Deposited 101095 on own account.
