[Date: 22.04.2021 time: 22:01:21] | Succesfully started BankingLogger
[Date: 22.04.2021 time: 22:06:32] | Player: 76561198086725669 Deposited 101593 on own account.
[Date: 22.04.2021 time: 22:06:38] | Player: 76561198979058621 Deposited 6300 on own account.
[Date: 22.04.2021 time: 22:28:05] | Player: 76561198055735611 Deposited 68898 on own account.
[Date: 22.04.2021 time: 22:42:50] | Player: 76561198328689163 Deposited 1812 on own account.
[Date: 22.04.2021 time: 22:43:14] | Player: 76561198328689163 withdrawed 1000 from own account.
[Date: 22.04.2021 time: 22:43:15] | Player: 76561198312217850 Deposited 10040 on own account.
[Date: 22.04.2021 time: 22:43:17] | Player: 76561198328689163 Deposited 1000 on own account.
[Date: 22.04.2021 time: 22:43:26] | Player: 76561198068395829 Deposited 8476 on own account.
[Date: 22.04.2021 time: 22:43:26] | Player: 76561198328689163 withdrawed 4000 from own account.
[Date: 22.04.2021 time: 22:43:28] | Player: 76561198328689163 Deposited 4000 on own account.
[Date: 22.04.2021 time: 22:44:57] | Player: 76561198328689163 withdrawed 5000 from own account.
[Date: 22.04.2021 time: 22:45:38] | Player: 76561198328689163 withdrawed 1000 from own account.
[Date: 22.04.2021 time: 22:45:51] | Player: 76561198312217850 withdrawed 60000 from own account.
[Date: 22.04.2021 time: 22:46:17] | Player: 76561198328689163 Deposited 100 on own account.
[Date: 22.04.2021 time: 22:46:52] | Player: 76561198328689163 withdrawed 20000 from own account.
[Date: 22.04.2021 time: 22:49:43] | Player: 76561198328689163 Deposited 3100 on own account.
[Date: 22.04.2021 time: 23:00:57] | Player: 76561198067290448 Deposited 4 on own account.
[Date: 22.04.2021 time: 23:02:52] | Player: 76561198067290448 withdrawed 5000 from own account.
[Date: 22.04.2021 time: 23:08:02] | Player: 76561197976576399 Deposited 4880 on own account.
[Date: 22.04.2021 time: 23:08:11] | Player: 76561198067290448 withdrawed 10000 from own account.
[Date: 22.04.2021 time: 23:12:21] | Player: 76561198999593356 withdrawed 422577 from own account.
[Date: 22.04.2021 time: 23:12:46] | Player: 76561198999593356 withdrawed 20000 from clan account.
[Date: 22.04.2021 time: 23:12:56] | Player: 76561197976576399 Deposited 40 on own account.
[Date: 22.04.2021 time: 23:16:19] | Player: 76561197976576399 Deposited 75 on own account.
[Date: 22.04.2021 time: 23:18:32] | Player: 76561198999593356 Deposited 404500 on own account.
[Date: 22.04.2021 time: 23:18:42] | Player: 76561198999593356 deposited 1227 on clan account.
[Date: 22.04.2021 time: 23:20:05] | Player: 76561198999593356 withdrawed 11000 from clan account.
[Date: 22.04.2021 time: 23:20:10] | Player: 76561198162344833 withdrawed 1000 from own account.
[Date: 22.04.2021 time: 23:20:14] | Player: 76561198013080573 joined the Clan Banking Account: Sish Kebab Salads
[Date: 22.04.2021 time: 23:21:03] | Player: 76561198162344833 Deposited 32100 on own account.
[Date: 22.04.2021 time: 23:21:17] | Player: 76561198144170227 Deposited 12725 on own account.
[Date: 22.04.2021 time: 23:21:26] | Player: 76561198999593356 deposited 900 on clan account.
[Date: 22.04.2021 time: 23:21:50] | Player: 76561198067290448 withdrawed 5000 from own account.
[Date: 22.04.2021 time: 23:23:47] | Player: 76561198144170227 withdrawed 15018 from own account.
[Date: 22.04.2021 time: 23:24:41] | Player: 76561198067290448 withdrawed 5000 from own account.
[Date: 22.04.2021 time: 23:32:45] | Player: 76561198144170227 Deposited 7163 on own account.
