[Date: 20.04.2021 time: 23:17:50] | Succesfully started BankingLogger
[Date: 20.04.2021 time: 23:19:28] | Player: 76561198059393283 withdrawed 2288 from own account.
[Date: 20.04.2021 time: 23:19:33] | Player: 76561198059393283 Deposited 2288 on own account.
[Date: 20.04.2021 time: 23:19:36] | Player: 76561198059393283 Deposited 2288 on own account.
[Date: 20.04.2021 time: 23:20:03] | Player: 76561198059393283 withdrawed 2000 from own account.
[Date: 20.04.2021 time: 23:20:51] | Player: 76561198059393283 Deposited 200 on own account.
[Date: 20.04.2021 time: 23:29:42] | Player: 76561198081586318 Deposited 87830 on own account.
[Date: 20.04.2021 time: 23:38:08] | Player: 76561198162344833 withdrawed 5000 from own account.
[Date: 20.04.2021 time: 23:38:13] | Player: 76561198065413312 joined the Clan Banking Account: Sish Kebab Salads
[Date: 20.04.2021 time: 23:38:48] | Player: 76561198065413312 PermissionsUpdated! from clan: Sish Kebab Salads
[Date: 20.04.2021 time: 23:41:54] | Player: 76561198065413312 withdrawed 750000 from own account.
[Date: 21.04.2021 time: 00:05:24] | Player: 76561198065413312 Deposited 228087 on own account.
[Date: 21.04.2021 time: 00:12:01] | Player: 76561198081586318 withdrawed 859191 from own account.
[Date: 21.04.2021 time: 00:12:34] | Player: 76561198990415902 Deposited 900000 on own account.
[Date: 21.04.2021 time: 00:20:29] | Player: 76561198059393283 withdrawed 1000 from own account.
[Date: 21.04.2021 time: 00:20:56] | Player: 76561197991428971 withdrawed 3000 from own account.
[Date: 21.04.2021 time: 00:22:21] | Player: 76561197991428971 withdrawed 5000 from own account.
[Date: 21.04.2021 time: 00:22:40] | Player: 76561198081586318 Deposited 700000 on own account.
[Date: 21.04.2021 time: 00:24:21] | Player: 76561198081586318 Deposited 55621 on own account.
[Date: 21.04.2021 time: 00:24:35] | Player: 76561198081586318 withdrawed 350000 from own account.
[Date: 21.04.2021 time: 00:25:15] | Player: 76561198081586318 withdrawed 350000 from own account.
[Date: 21.04.2021 time: 00:30:09] | Player: 76561198054302263 Deposited 20765 on own account.
[Date: 21.04.2021 time: 00:30:14] | Player: 76561198054302263 withdrawed 20765 from own account.
[Date: 21.04.2021 time: 00:30:31] | Player: 76561198054302263 Deposited 20765 on own account.
[Date: 21.04.2021 time: 00:30:34] | Player: 76561198054302263 withdrawed 20765 from own account.
[Date: 21.04.2021 time: 00:30:35] | Player: 76561198054302263 Deposited 20765 on own account.
[Date: 21.04.2021 time: 00:30:41] | Player: 76561198054302263 Deposited 0 on own account.
[Date: 21.04.2021 time: 00:30:43] | Player: 76561198054302263 withdrawed 20765 from own account.
[Date: 21.04.2021 time: 00:30:58] | Player: 76561198059393283 Deposited 2455 on own account.
[Date: 21.04.2021 time: 00:31:23] | Player: 76561198054302263 Deposited 20765 on own account.
[Date: 21.04.2021 time: 00:32:35] | Player: 76561197991428971 Deposited 126 on own account.
[Date: 21.04.2021 time: 00:32:40] | Player: 76561197991428971 withdrawed 500 from own account.
[Date: 21.04.2021 time: 00:33:14] | Player: 76561198059393283 withdrawed 5000 from own account.
[Date: 21.04.2021 time: 00:33:14] | Player: 76561197991428971 withdrawed 250 from own account.
[Date: 21.04.2021 time: 00:34:52] | Player: 76561197991428971 withdrawed 800 from own account.
[Date: 21.04.2021 time: 00:34:58] | Player: 76561198059393283 withdrawed 1000 from own account.
[Date: 21.04.2021 time: 00:35:21] | Player: 76561197991428971 withdrawed 300 from own account.
[Date: 21.04.2021 time: 00:35:40] | Player: 76561197991428971 Deposited 180 on own account.
[Date: 21.04.2021 time: 00:35:41] | Player: 76561198059393283 Deposited 325 on own account.
[Date: 21.04.2021 time: 00:36:10] | Player: 76561197991428971 Deposited 60 on own account.
[Date: 21.04.2021 time: 00:36:38] | Player: 76561197991428971 withdrawed 5000 from own account.
[Date: 21.04.2021 time: 00:37:35] | Player: 76561198059393283 withdrawed 5000 from own account.
[Date: 21.04.2021 time: 00:37:55] | Player: 76561197991428971 withdrawed 6000 from own account.
[Date: 21.04.2021 time: 00:37:57] | Player: 76561198059393283 withdrawed 2000 from own account.
[Date: 21.04.2021 time: 00:38:11] | Player: 76561197991428971 Deposited 2900 on own account.
[Date: 21.04.2021 time: 01:11:48] | Player: 76561197991428971 withdrawed 32416 from own account.
[Date: 21.04.2021 time: 01:11:51] | Player: 76561197991428971 Deposited 41482 on own account.
[Date: 21.04.2021 time: 01:13:08] | Player: 76561197991428971 Deposited 20 on own account.
[Date: 21.04.2021 time: 01:13:26] | Player: 76561197991428971 withdrawed 500 from own account.
[Date: 21.04.2021 time: 01:13:56] | Player: 76561198059393283 Deposited 5635 on own account.
[Date: 21.04.2021 time: 01:25:15] | Player: 76561198059393283 Deposited 6950 on own account.
