[Date: 05.05.2021 time: 02:00:30] | Succesfully started BankingLogger
[Date: 05.05.2021 time: 02:20:04] | Player: 76561197972783332 Deposited 3000 on own account.
[Date: 05.05.2021 time: 02:21:46] | Player: 76561197991428971 Deposited 9293 on own account.
[Date: 05.05.2021 time: 02:23:22] | Player: 76561197991428971 withdrawed 500 from own account.
[Date: 05.05.2021 time: 02:25:19] | Player: 76561197991428971 Deposited 500 on own account.
[Date: 05.05.2021 time: 02:26:05] | Player: 76561197972783332 Deposited 119 on own account.
[Date: 05.05.2021 time: 02:43:19] | Player: 76561199156952824 Deposited 80795 on own account.
[Date: 05.05.2021 time: 02:43:50] | Player: 76561199156952824 withdrawed 2000 from own account.
[Date: 05.05.2021 time: 03:33:37] | Player: 76561197984956790 Deposited 13793 on own account.
[Date: 05.05.2021 time: 03:42:53] | Player: 76561197984956790 Deposited 250 on own account.
[Date: 05.05.2021 time: 03:43:47] | Player: 76561197984956790 withdrawed 222 from own account.
[Date: 05.05.2021 time: 03:47:05] | Player: 76561197984956790 withdrawed 111 from own account.
[Date: 05.05.2021 time: 03:47:59] | Player: 76561197984956790 withdrawed 999 from own account.
[Date: 05.05.2021 time: 03:48:16] | Player: 76561197984956790 withdrawed 222 from own account.
[Date: 05.05.2021 time: 03:48:17] | Player: 76561197984956790 withdrawed 222 from own account.
[Date: 05.05.2021 time: 03:48:18] | Player: 76561197984956790 withdrawed 222 from own account.
[Date: 05.05.2021 time: 03:48:20] | Player: 76561197984956790 withdrawed 222 from own account.
[Date: 05.05.2021 time: 04:00:39] | Player: 76561197984956790 Deposited 715 on own account.
[Date: 05.05.2021 time: 04:02:12] | Player: 76561197984956790 withdrawed 103455 from own account.
[Date: 05.05.2021 time: 04:09:02] | Player: 76561197984956790 Deposited 22855 on own account.
[Date: 05.05.2021 time: 04:21:55] | Player: 76561197972783332 Deposited 2271 on own account.
[Date: 05.05.2021 time: 04:44:40] | Player: 76561197984956790 withdrawed 1111 from own account.
[Date: 05.05.2021 time: 04:46:06] | Player: 76561197984956790 Deposited 871 on own account.
