[Date: 23.04.2021 time: 06:01:06] | Succesfully started BankingLogger
[Date: 23.04.2021 time: 07:27:03] | Player: 76561198037023350 Deposited 24662 on own account.
[Date: 23.04.2021 time: 08:15:03] | Player: 76561198133603788 Deposited 22338 on own account.
[Date: 23.04.2021 time: 08:16:48] | Player: 76561198133603788 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 08:17:39] | Player: 76561198133603788 withdrawed 250 from own account.
[Date: 23.04.2021 time: 08:22:36] | Player: 76561198133603788 withdrawed 65000 from own account.
[Date: 23.04.2021 time: 09:31:02] | Player: 76561199048973301 withdrawed 50000 from own account.
[Date: 23.04.2021 time: 09:34:31] | Player: 76561198037023350 Deposited 62550 on own account.
[Date: 23.04.2021 time: 09:35:36] | Player: 76561199048973301 Deposited 29080 on own account.
[Date: 23.04.2021 time: 09:48:42] | Player: 76561198037023350 Deposited 17105 on own account.
[Date: 23.04.2021 time: 09:51:45] | Player: 76561198146645737 Deposited 3306 on own account.
[Date: 23.04.2021 time: 09:54:21] | Player: 76561198037023350 Deposited 11925 on own account.
[Date: 23.04.2021 time: 09:56:32] | Player: 76561198146645737 Deposited 4165 on own account.
[Date: 23.04.2021 time: 09:58:55] | Player: 76561198133603788 Deposited 20526 on own account.
