[Date: 23.04.2021 time: 18:02:44] | Succesfully started BankingLogger
[Date: 23.04.2021 time: 18:28:23] | Player: 76561198035432577 Deposited 8929 on own account.
[Date: 23.04.2021 time: 18:45:00] | Player: 76561199032610093 Deposited 45680 on own account.
[Date: 23.04.2021 time: 18:45:13] | Player: 76561199032610093 withdrawed 45680 from own account.
[Date: 23.04.2021 time: 18:45:17] | Player: 76561199032610093 Deposited 45680 on own account.
[Date: 23.04.2021 time: 18:48:46] | Player: 76561199032610093 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 18:52:57] | Player: 76561199032610093 withdrawed 2000 from own account.
[Date: 23.04.2021 time: 18:55:40] | Player: 76561199032610093 withdrawed 800 from own account.
[Date: 23.04.2021 time: 19:08:15] | Player: 76561198162344833 withdrawed 500000 from own account.
[Date: 23.04.2021 time: 19:09:23] | Player: 76561198034506545 Deposited 25137 on own account.
[Date: 23.04.2021 time: 19:23:02] | Player: 76561198034506545 Deposited 500 on own account.
[Date: 23.04.2021 time: 19:23:30] | Player: 76561198034506545 withdrawed 2000 from own account.
[Date: 23.04.2021 time: 19:26:54] | Player: 76561198284652800 withdrawed 50000 from own account.
[Date: 23.04.2021 time: 19:53:07] | Player: 76561198284652800 Deposited 27359 on own account.
[Date: 23.04.2021 time: 19:58:36] | Player: 76561197965508404 Deposited 38880 on own account.
[Date: 23.04.2021 time: 19:58:46] | Player: 76561197965508404 withdrawed 38880 from own account.
[Date: 23.04.2021 time: 19:59:01] | Player: 76561197965508404 Deposited 38880 on own account.
[Date: 23.04.2021 time: 19:59:03] | Player: 76561197965508404 withdrawed 38880 from own account.
[Date: 23.04.2021 time: 19:59:26] | Player: 76561197965508404 Deposited 38880 on own account.
[Date: 23.04.2021 time: 20:02:36] | Player: 76561198960953221 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 20:02:38] | Player: 76561198960953221 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 20:03:28] | Player: 76561199156952824 Deposited 2010 on own account.
[Date: 23.04.2021 time: 20:15:00] | Player: 76561199156952824 Deposited 1244 on own account.
[Date: 23.04.2021 time: 20:16:37] | Player: 76561198421975055 withdrawed 70000 from own account.
[Date: 23.04.2021 time: 20:17:53] | Player: 76561198421975055 Deposited 3056 on own account.
[Date: 23.04.2021 time: 20:18:34] | Player: 76561198162344833 Deposited 54000 on own account.
[Date: 23.04.2021 time: 20:22:22] | Player: 76561198969225016 Deposited 30000 on own account.
[Date: 23.04.2021 time: 20:23:24] | Player: 76561198969225016 Deposited 250000 on own account.
[Date: 23.04.2021 time: 20:24:17] | Player: 76561198162344833 withdrawed 500000 from own account.
[Date: 23.04.2021 time: 20:40:47] | Player: 76561198037023350 withdrawed 30000 from own account.
[Date: 23.04.2021 time: 20:41:46] | Player: 76561198037023350 Deposited 9000 on own account.
[Date: 23.04.2021 time: 20:58:29] | Player: 76561199148015671 Deposited 9352 on own account.
[Date: 23.04.2021 time: 20:59:36] | Player: 76561198081900587 Deposited 19594 on own account.
[Date: 23.04.2021 time: 21:01:14] | Player: 76561198081900587 Deposited 6400 on own account.
[Date: 23.04.2021 time: 21:01:29] | Player: 76561198133603788 Deposited 20187 on own account.
[Date: 23.04.2021 time: 21:12:56] | Player: 76561199148015671 withdrawed 15000 from own account.
[Date: 23.04.2021 time: 21:17:04] | Player: 76561198037023350 Deposited 11640 on own account.
[Date: 23.04.2021 time: 21:29:00] | Player: 76561199156952824 Deposited 1557 on own account.
[Date: 23.04.2021 time: 21:33:00] | Player: 76561199156952824 Deposited 1545 on own account.
[Date: 23.04.2021 time: 21:34:39] | Player: 76561199156952824 Deposited 72 on own account.
[Date: 23.04.2021 time: 21:36:28] | Player: 76561199032610093 withdrawed 70000 from own account.
[Date: 23.04.2021 time: 21:36:41] | Player: 76561198067290448 Deposited 1931 on own account.
[Date: 23.04.2021 time: 21:37:46] | Player: 76561199032610093 withdrawed 3000 from own account.
[Date: 23.04.2021 time: 21:38:14] | Player: 76561198067290448 Deposited 500 on own account.
[Date: 23.04.2021 time: 21:38:39] | Player: 76561197976576399 Deposited 4273 on own account.
[Date: 23.04.2021 time: 21:44:02] | Player: 76561198067290448 Deposited 1800 on own account.
[Date: 23.04.2021 time: 21:50:34] | Player: 76561198162344833 withdrawed 5000 from own account.
[Date: 23.04.2021 time: 21:54:47] | Player: 76561198162344833 withdrawed 271055 from own account.
[Date: 23.04.2021 time: 21:56:02] | Player: 76561198162344833 Deposited 261455 on own account.
[Date: 23.04.2021 time: 21:56:10] | Player: 76561198333106484 withdrawed 15000 from own account.
[Date: 23.04.2021 time: 21:58:40] | Player: 76561199148015671 withdrawed 10000 from own account.
