[Date: 26.04.2021 time: 10:01:00] | Succesfully started BankingLogger
[Date: 26.04.2021 time: 11:14:03] | Player: 76561198223714820 withdrawed 10000 from own account.
[Date: 26.04.2021 time: 11:25:36] | Player: 76561198223714820 Deposited 2650 on own account.
[Date: 26.04.2021 time: 12:09:45] | Player: 76561198034506545 withdrawed 50000 from own account.
[Date: 26.04.2021 time: 12:16:33] | Player: 76561198034506545 Deposited 43400 on own account.
[Date: 26.04.2021 time: 12:18:13] | Player: 76561198037023350 Deposited 13052 on own account.
[Date: 26.04.2021 time: 12:19:04] | Player: 76561197965508404 Deposited 28605 on own account.
[Date: 26.04.2021 time: 12:21:51] | Player: 76561198037023350 Deposited 6250 on own account.
[Date: 26.04.2021 time: 12:30:54] | Player: 76561198223714820 Deposited 72400 on own account.
[Date: 26.04.2021 time: 12:34:18] | Player: 76561198223714820 Deposited 650 on own account.
[Date: 26.04.2021 time: 12:54:20] | Player: 76561199156952824 Deposited 3906 on own account.
[Date: 26.04.2021 time: 12:54:56] | Player: 76561198223714820 Deposited 49000 on own account.
[Date: 26.04.2021 time: 12:55:40] | Player: 76561198037023350 Deposited 13058 on own account.
[Date: 26.04.2021 time: 12:57:20] | Player: 76561198223714820 Deposited 13180 on own account.
[Date: 26.04.2021 time: 13:00:02] | Player: 76561198037023350 Deposited 14660 on own account.
[Date: 26.04.2021 time: 13:02:02] | Player: 76561198223714820 Deposited 460 on own account.
[Date: 26.04.2021 time: 13:20:44] | Player: 76561198254602740 withdrawed 15813 from own account.
[Date: 26.04.2021 time: 13:21:32] | Player: 76561198254602740 Deposited 6713 on own account.
[Date: 26.04.2021 time: 13:39:32] | Player: 76561199156952824 Deposited 5300 on own account.
[Date: 26.04.2021 time: 13:45:44] | Player: 76561198037023350 Deposited 33484 on own account.
