[Date: 22.04.2021 time: 06:18:28] | Succesfully started BankingLogger
[Date: 22.04.2021 time: 07:41:08] | Player: 76561198152771835 withdrawed 4000 from own account.
[Date: 22.04.2021 time: 07:48:54] | Player: 76561198214237033 Deposited 10450 on own account.
[Date: 22.04.2021 time: 07:57:28] | Player: 76561198152771835 Deposited 10052 on own account.
[Date: 22.04.2021 time: 07:58:22] | Player: 76561197965508404 Deposited 31203 on own account.
[Date: 22.04.2021 time: 08:02:03] | Player: 76561198152771835 withdrawed 4000 from own account.
[Date: 22.04.2021 time: 08:36:32] | Player: 76561198178703862 Deposited 4969 on own account.
[Date: 22.04.2021 time: 08:37:45] | Player: 76561198178703862 withdrawed 50 from own account.
[Date: 22.04.2021 time: 08:45:21] | Player: 76561198214237033 withdrawed 400 from own account.
[Date: 22.04.2021 time: 08:47:51] | Player: 76561198214237033 withdrawed 1400 from own account.
[Date: 22.04.2021 time: 08:50:47] | Player: 76561198214237033 Deposited 420 on own account.
[Date: 22.04.2021 time: 09:12:49] | Player: 76561198223714820 Deposited 165 on own account.
[Date: 22.04.2021 time: 09:19:58] | Player: 76561198152771835 Deposited 26575 on own account.
[Date: 22.04.2021 time: 09:21:41] | Player: 76561198152771835 withdrawed 20000 from own account.
[Date: 22.04.2021 time: 09:26:16] | Player: 76561198421975055 withdrawed 1000 from own account.
[Date: 22.04.2021 time: 09:49:49] | Player: 76561198177852285 withdrawed 10000 from own account.
[Date: 22.04.2021 time: 09:58:08] | Player: 76561198178703862 Deposited 13141 on own account.
