[Date: 28.04.2021 time: 06:01:10] | Succesfully started BankingLogger
[Date: 28.04.2021 time: 08:20:12] | Player: 76561198099487602 Deposited 26848 on own account.
[Date: 28.04.2021 time: 08:21:31] | Player: 76561198099487602 Deposited 400 on own account.
[Date: 28.04.2021 time: 08:27:30] | Player: 76561198175875361 Deposited 2000 on own account.
[Date: 28.04.2021 time: 08:27:37] | Player: 76561198175875361 Deposited 20000 on own account.
[Date: 28.04.2021 time: 08:27:43] | Player: 76561198175875361 withdrawed 2000 from own account.
[Date: 28.04.2021 time: 09:08:22] | Player: 76561198223714820 Deposited 75250 on own account.
[Date: 28.04.2021 time: 09:25:50] | Player: 76561198099487602 Deposited 5815 on own account.
[Date: 28.04.2021 time: 09:29:38] | Player: 76561197965508404 Deposited 72600 on own account.
[Date: 28.04.2021 time: 09:33:48] | Player: 76561198223714820 Deposited 16315 on own account.
[Date: 28.04.2021 time: 09:39:03] | Player: 76561198223714820 withdrawed 2000 from own account.
[Date: 28.04.2021 time: 09:40:34] | Player: 76561198223714820 Deposited 1930 on own account.
