[Date: 04.05.2021 time: 16:19:26] | Succesfully started BankingLogger
[Date: 04.05.2021 time: 16:52:18] | Player: 76561198350617269 Deposited 13732 on own account.
[Date: 04.05.2021 time: 16:53:00] | Player: 76561198350617269 withdrawed 5000 from own account.
[Date: 04.05.2021 time: 16:53:07] | Player: 76561198350617269 joined the Clan Banking Account: Deathdealer
[Date: 04.05.2021 time: 16:53:07] | Player: 76561198350617269 Created Clan: Deathdealer
[Date: 04.05.2021 time: 16:56:35] | Player: 76561198946609183 withdrawed 10000 from own account.
[Date: 04.05.2021 time: 17:13:04] | Player: 76561199148015671 withdrawed 9000 from own account.
[Date: 04.05.2021 time: 17:13:27] | Player: 76561198223714820 Deposited 450 on own account.
[Date: 04.05.2021 time: 17:15:24] | Player: 76561199166448618 withdrawed 7000 from own account.
[Date: 04.05.2021 time: 17:16:06] | Player: 76561198223714820 withdrawed 5000 from own account.
[Date: 04.05.2021 time: 17:20:54] | Player: 76561199148015671 Deposited 8071 on own account.
[Date: 04.05.2021 time: 17:24:20] | Player: 76561197976576399 Deposited 85746 on own account.
[Date: 04.05.2021 time: 17:30:46] | Player: 76561198035432577 Deposited 16332 on own account.
[Date: 04.05.2021 time: 17:37:03] | Player: 76561198946609183 withdrawed 2500 from own account.
[Date: 04.05.2021 time: 17:42:17] | Player: 76561198946609183 withdrawed 15000 from own account.
[Date: 04.05.2021 time: 17:45:01] | Player: 76561198946609183 withdrawed 5000 from own account.
[Date: 04.05.2021 time: 17:45:12] | Player: 76561199122053225 Deposited 13846 on own account.
[Date: 04.05.2021 time: 17:46:27] | Player: 76561198946609183 withdrawed 2500 from own account.
[Date: 04.05.2021 time: 17:48:26] | Player: 76561199122053225 Deposited 950 on own account.
[Date: 04.05.2021 time: 17:49:51] | Player: 76561198946609183 withdrawed 400 from own account.
[Date: 04.05.2021 time: 17:54:33] | Player: 76561198035432577 Deposited 30413 on own account.
[Date: 04.05.2021 time: 17:57:12] | Player: 76561198946609183 withdrawed 300 from own account.
