[Date: 02.05.2021 time: 18:06:28] | Succesfully started BankingLogger
[Date: 02.05.2021 time: 18:08:49] | Player: 76561198350617269 Deposited 54365 on own account.
[Date: 02.05.2021 time: 18:47:57] | Player: 76561198037023350 Deposited 233533 on own account.
[Date: 02.05.2021 time: 18:48:20] | Player: 76561198350617269 Deposited 61703 on own account.
[Date: 02.05.2021 time: 18:53:05] | Player: 76561198969225016 withdrawed 10000 from own account.
[Date: 02.05.2021 time: 18:54:56] | Player: 76561198037023350 Deposited 29215 on own account.
[Date: 02.05.2021 time: 18:59:06] | Player: 76561198037023350 Deposited 44990 on own account.
[Date: 02.05.2021 time: 18:59:53] | Player: 76561199122053225 Deposited 23392 on own account.
[Date: 02.05.2021 time: 19:01:21] | Player: 76561198037023350 Deposited 51 on own account.
[Date: 02.05.2021 time: 19:04:25] | Player: 76561198121538111 Deposited 19595 on own account.
[Date: 02.05.2021 time: 19:05:21] | Player: 76561198081685238 Deposited 14518 on own account.
[Date: 02.05.2021 time: 19:06:11] | Player: 76561198121538111 withdrawed 10000 from own account.
[Date: 02.05.2021 time: 19:08:40] | Player: 76561198081685238 withdrawed 200 from own account.
[Date: 02.05.2021 time: 19:09:10] | Player: 76561198081685238 Deposited 20 on own account.
[Date: 02.05.2021 time: 19:09:32] | Player: 76561198121538111 Deposited 10308 on own account.
[Date: 02.05.2021 time: 19:12:13] | Player: 76561198121538111 Deposited 200 on own account.
[Date: 02.05.2021 time: 19:16:03] | Player: 76561198143912910 Deposited 12232 on own account.
[Date: 02.05.2021 time: 19:18:36] | Player: 76561198037023350 Deposited 36765 on own account.
[Date: 02.05.2021 time: 19:35:29] | Player: 76561198350617269 Deposited 16667 on own account.
[Date: 02.05.2021 time: 19:39:10] | Player: 76561198254602740 Deposited 78000 on own account.
[Date: 02.05.2021 time: 19:43:05] | Player: 76561198035432577 deposited 5000 on clan account.
[Date: 02.05.2021 time: 19:43:13] | Player: 76561198035432577 Deposited 20750 on own account.
[Date: 02.05.2021 time: 19:46:32] | Player: 76561198022860956 withdrawed 30000 from own account.
