[Date: 29.04.2021 time: 06:01:06] | Succesfully started BankingLogger
[Date: 29.04.2021 time: 06:56:56] | Player: 76561198223714820 Deposited 11250 on own account.
[Date: 29.04.2021 time: 07:15:33] | Player: 76561199156952824 Deposited 97000 on own account.
[Date: 29.04.2021 time: 07:28:11] | Player: 76561198223714820 Deposited 21675 on own account.
[Date: 29.04.2021 time: 07:30:58] | Player: 76561198999593356 Deposited 51220 on own account.
[Date: 29.04.2021 time: 07:35:40] | Player: 76561198999593356 withdrawed 5000 from own account.
[Date: 29.04.2021 time: 07:36:07] | Player: 76561198223714820 withdrawed 10000 from own account.
[Date: 29.04.2021 time: 07:36:30] | Player: 76561198223714820 Deposited 8440 on own account.
[Date: 29.04.2021 time: 07:36:35] | Player: 76561198999593356 Deposited 2600 on own account.
[Date: 29.04.2021 time: 07:38:00] | Player: 76561198223714820 Deposited 1000 on own account.
[Date: 29.04.2021 time: 08:14:29] | Player: 76561198999593356 withdrawed 2000 from own account.
[Date: 29.04.2021 time: 08:39:32] | Player: 76561198999593356 withdrawed 1500 from own account.
[Date: 29.04.2021 time: 08:41:39] | Player: 76561198999593356 withdrawed 6000 from own account.
[Date: 29.04.2021 time: 08:42:39] | Player: 76561198999593356 withdrawed 6500 from own account.
[Date: 29.04.2021 time: 08:45:04] | Player: 76561198999593356 withdrawed 205 from own account.
[Date: 29.04.2021 time: 09:20:11] | Player: 76561198223714820 Deposited 51000 on own account.
[Date: 29.04.2021 time: 09:29:01] | Player: 76561197965508404 Deposited 2950 on own account.
[Date: 29.04.2021 time: 09:29:07] | Player: 76561197965508404 withdrawed 500000 from own account.
[Date: 29.04.2021 time: 09:35:49] | Player: 76561198223714820 Deposited 2500 on own account.
