[Date: 30.04.2021 time: 18:14:30] | Succesfully started BankingLogger
[Date: 30.04.2021 time: 18:20:18] | Player: 76561198350617269 Deposited 850 on own account.
[Date: 30.04.2021 time: 18:25:07] | Player: 76561199156952824 Deposited 232370 on own account.
[Date: 30.04.2021 time: 18:26:25] | Player: 76561198396489573 Deposited 940 on own account.
[Date: 30.04.2021 time: 18:29:03] | Player: 76561199156952824 withdrawed 20000 from own account.
[Date: 30.04.2021 time: 18:33:46] | Player: 76561199156952824 Deposited 11400 on own account.
[Date: 30.04.2021 time: 18:35:06] | Player: 76561199047086145 Deposited 15039 on own account.
[Date: 30.04.2021 time: 18:50:41] | Player: 76561198162344833 Deposited 10345 on own account.
[Date: 30.04.2021 time: 18:51:08] | Player: 76561198280789118 Deposited 7218 on own account.
[Date: 30.04.2021 time: 18:55:02] | Player: 76561198350617269 Deposited 15230 on own account.
[Date: 30.04.2021 time: 18:55:58] | Player: 76561198280789118 Deposited 1800 on own account.
