[Date: 01.05.2021 time: 15:30:32] | Succesfully started BankingLogger
[Date: 01.05.2021 time: 15:38:59] | Player: 76561198162344833 withdrawed 10000 from own account.
[Date: 01.05.2021 time: 15:39:51] | Player: 76561198162344833 Deposited 7300 on own account.
[Date: 01.05.2021 time: 15:42:38] | Player: 76561198013080573 Deposited 750 on own account.
[Date: 01.05.2021 time: 15:51:24] | Player: 76561198100717229 withdrawed 30000 from own account.
[Date: 01.05.2021 time: 16:09:32] | Player: 76561198333106484 Deposited 30000 on own account.
[Date: 01.05.2021 time: 16:26:19] | Player: 76561197991428971 withdrawed 31000 from own account.
[Date: 01.05.2021 time: 16:26:43] | Player: 76561197991428971 Deposited 800 on own account.
[Date: 01.05.2021 time: 16:51:58] | Player: 76561199148015671 Deposited 242500 on own account.
[Date: 01.05.2021 time: 16:57:17] | Player: 76561199048973301 Deposited 9478 on own account.
[Date: 01.05.2021 time: 17:11:43] | Player: 76561199148015671 withdrawed 2000 from own account.
[Date: 01.05.2021 time: 17:31:37] | Player: 76561199128139154 Deposited 10 on own account.
[Date: 01.05.2021 time: 17:33:23] | Player: 76561199128139154 Deposited 3 on own account.
[Date: 01.05.2021 time: 17:34:09] | Player: 76561198280789118 Deposited 5200 on own account.
[Date: 01.05.2021 time: 17:41:23] | Player: 76561198254602740 withdrawed 18455 from own account.
[Date: 01.05.2021 time: 17:45:53] | Player: 76561198254602740 Deposited 2925 on own account.
