[Date: 30.04.2021 time: 19:14:35] | Succesfully started BankingLogger
[Date: 30.04.2021 time: 19:38:28] | Player: 76561199047086145 Deposited 22013 on own account.
[Date: 30.04.2021 time: 19:42:50] | Player: 76561198396489573 withdrawed 45539 from own account.
[Date: 30.04.2021 time: 19:42:52] | Player: 76561198421975055 withdrawed 372825 from clan account.
[Date: 30.04.2021 time: 19:42:56] | Player: 76561198396489573 deposited 45539 on clan account.
[Date: 30.04.2021 time: 19:43:01] | Player: 76561198421975055 withdrawed 147000 from own account.
[Date: 30.04.2021 time: 19:57:41] | Player: 76561198022860956 Deposited 435 on own account.
[Date: 30.04.2021 time: 19:59:06] | Player: 76561198350617269 Deposited 1535 on own account.
[Date: 30.04.2021 time: 20:00:53] | Player: 76561198350617269 withdrawed 60000 from own account.
[Date: 30.04.2021 time: 20:02:21] | Player: 76561198022860956 Deposited 625 on own account.
[Date: 30.04.2021 time: 20:02:29] | Player: 76561198022860956 withdrawed 4000 from own account.
[Date: 30.04.2021 time: 20:03:02] | Player: 76561198350617269 withdrawed 5000 from own account.
[Date: 30.04.2021 time: 20:05:21] | Player: 76561199122053225 Deposited 10461 on own account.
[Date: 30.04.2021 time: 20:06:48] | Player: 76561199146161640 Deposited 112816 on own account.
[Date: 30.04.2021 time: 20:07:03] | Player: 76561199146161640 withdrawed 20000 from own account.
[Date: 30.04.2021 time: 20:11:59] | Player: 76561198037023350 Deposited 63725 on own account.
[Date: 30.04.2021 time: 20:21:15] | Player: 76561198037023350 Deposited 15654 on own account.
[Date: 30.04.2021 time: 20:34:37] | Player: 76561198350617269 Deposited 4534 on own account.
[Date: 30.04.2021 time: 20:44:21] | Player: 76561198396489573 Deposited 46000 on own account.
[Date: 30.04.2021 time: 20:50:49] | Player: 76561198999593356 Deposited 5269 on own account.
[Date: 30.04.2021 time: 20:51:33] | Player: 76561198999593356 withdrawed 5000 from own account.
[Date: 30.04.2021 time: 20:52:49] | Player: 76561198421975055 Deposited 7092 on own account.
[Date: 30.04.2021 time: 20:52:58] | Player: 76561198396489573 withdrawed 48000 from own account.
[Date: 30.04.2021 time: 20:53:02] | Player: 76561198396489573 deposited 48000 on clan account.
[Date: 30.04.2021 time: 20:53:09] | Player: 76561198421975055 withdrawed 45539 from clan account.
[Date: 30.04.2021 time: 20:53:20] | Player: 76561198421975055 Deposited 45539 on own account.
[Date: 30.04.2021 time: 20:53:28] | Player: 76561198421975055 withdrawed 48000 from clan account.
[Date: 30.04.2021 time: 20:53:39] | Player: 76561198421975055 Deposited 48000 on own account.
[Date: 30.04.2021 time: 20:54:13] | Player: 76561198421975055 withdrawed 686 from own account.
[Date: 30.04.2021 time: 20:54:16] | Player: 76561198421975055 deposited 686 on clan account.
[Date: 30.04.2021 time: 20:55:40] | Player: 76561198999593356 Deposited 1500 on own account.
[Date: 30.04.2021 time: 20:59:19] | Player: 76561198254602740 withdrawed 11716 from own account.
[Date: 30.04.2021 time: 21:00:24] | Player: 76561198333106484 withdrawed 20000 from own account.
[Date: 30.04.2021 time: 21:00:25] | Player: 76561198333106484 Deposited 20000 on own account.
[Date: 30.04.2021 time: 21:00:28] | Player: 76561198333106484 Deposited 20000 on own account.
[Date: 30.04.2021 time: 21:01:23] | Player: 76561199156952824 Deposited 10500 on own account.
[Date: 30.04.2021 time: 21:01:49] | Player: 76561198254602740 Deposited 4366 on own account.
[Date: 30.04.2021 time: 21:01:50] | Player: 76561198096469059 withdrawed 5000 from own account.
[Date: 30.04.2021 time: 21:01:59] | Player: 76561198333106484 withdrawed 1000 from own account.
[Date: 30.04.2021 time: 21:02:02] | Player: 76561198333106484 withdrawed 10000 from own account.
[Date: 30.04.2021 time: 21:03:01] | Player: 76561198254602740 withdrawed 4365 from own account.
[Date: 30.04.2021 time: 21:07:11] | Player: 76561199122053225 Deposited 30734 on own account.
[Date: 30.04.2021 time: 21:07:33] | Player: 76561198254602740 Deposited 2745 on own account.
[Date: 30.04.2021 time: 21:10:31] | Player: 76561198096469059 withdrawed 16410 from own account.
[Date: 30.04.2021 time: 21:10:37] | Player: 76561198096469059 withdrawed 0 from own account.
[Date: 30.04.2021 time: 21:11:16] | Player: 76561198333106484 withdrawed 10000 from own account.
[Date: 30.04.2021 time: 21:14:52] | Player: 76561198096469059 Deposited 8785 on own account.
[Date: 30.04.2021 time: 21:17:19] | Player: 76561199121764782 Deposited 21484 on own account.
[Date: 30.04.2021 time: 21:23:22] | Player: 76561199047086145 withdrawed 10000 from own account.
[Date: 30.04.2021 time: 21:26:51] | Player: 76561199146161640 withdrawed 10000 from own account.
[Date: 30.04.2021 time: 21:27:14] | Player: 76561198999593356 withdrawed 50000 from own account.
[Date: 30.04.2021 time: 21:29:17] | Player: 76561199146161640 Deposited 11350 on own account.
[Date: 30.04.2021 time: 21:31:22] | Player: 76561199146161640 withdrawed 1400 from own account.
[Date: 30.04.2021 time: 21:32:57] | Player: 76561199146161640 Deposited 195 on own account.
[Date: 30.04.2021 time: 21:35:07] | Player: 76561198999593356 Deposited 9330 on own account.
[Date: 30.04.2021 time: 21:35:48] | Player: 76561199156952824 Deposited 60 on own account.
[Date: 30.04.2021 time: 21:36:10] | Player: 76561199156952824 withdrawed 10000 from own account.
[Date: 30.04.2021 time: 21:36:53] | Player: 76561199146161640 Deposited 4500 on own account.
[Date: 30.04.2021 time: 21:37:09] | Player: 76561199146161640 withdrawed 10000 from own account.
[Date: 30.04.2021 time: 21:39:07] | Player: 76561199146161640 Deposited 8100 on own account.
[Date: 30.04.2021 time: 21:39:22] | Player: 76561197965508404 Deposited 35255 on own account.
[Date: 30.04.2021 time: 21:44:41] | Player: 76561199156952824 Deposited 8704 on own account.
[Date: 30.04.2021 time: 21:45:05] | Player: 76561198081900587 Deposited 36560 on own account.
[Date: 30.04.2021 time: 21:49:00] | Player: 76561199146161640 withdrawed 15000 from own account.
[Date: 30.04.2021 time: 21:58:19] | Player: 76561199146161640 Deposited 10102 on own account.
[Date: 30.04.2021 time: 21:58:26] | Player: 76561198022860956 Deposited 540 on own account.
