[Date: 01.05.2021 time: 06:00:57] | Succesfully started BankingLogger
[Date: 01.05.2021 time: 06:10:06] | Player: 76561199156952824 Deposited 16718 on own account.
[Date: 01.05.2021 time: 06:12:36] | Player: 76561199156952824 Deposited 4840 on own account.
[Date: 01.05.2021 time: 06:49:29] | Player: 76561198035432577 Deposited 22300 on own account.
[Date: 01.05.2021 time: 07:42:30] | Player: 76561198152771835 Deposited 753 on own account.
[Date: 01.05.2021 time: 07:42:36] | Player: 76561198152771835 withdrawed 2000 from own account.
[Date: 01.05.2021 time: 07:43:02] | Player: 76561198152771835 withdrawed 2000 from own account.
[Date: 01.05.2021 time: 07:53:13] | Player: 76561198350617269 Deposited 33493 on own account.
[Date: 01.05.2021 time: 08:33:18] | Player: 76561198223714820 Deposited 16100 on own account.
[Date: 01.05.2021 time: 08:34:28] | Player: 76561198223714820 withdrawed 10000 from own account.
[Date: 01.05.2021 time: 08:36:03] | Player: 76561198223714820 Deposited 6160 on own account.
[Date: 01.05.2021 time: 08:47:36] | Player: 76561198350617269 Deposited 30599 on own account.
[Date: 01.05.2021 time: 08:51:53] | Player: 76561198350617269 withdrawed 2000 from own account.
[Date: 01.05.2021 time: 09:17:04] | Player: 76561198223714820 Deposited 67500 on own account.
[Date: 01.05.2021 time: 09:17:13] | Player: 76561198223714820 withdrawed 50000 from own account.
[Date: 01.05.2021 time: 09:17:47] | Player: 76561198223714820 withdrawed 400 from own account.
[Date: 01.05.2021 time: 09:18:22] | Player: 76561198223714820 withdrawed 50000 from own account.
[Date: 01.05.2021 time: 09:33:20] | Player: 76561198223714820 withdrawed 20000 from own account.
[Date: 01.05.2021 time: 09:36:10] | Player: 76561198350617269 Deposited 22149 on own account.
[Date: 01.05.2021 time: 09:45:12] | Player: 76561198223714820 Deposited 15475 on own account.
[Date: 01.05.2021 time: 09:48:24] | Player: 76561198223714820 withdrawed 50 from own account.
[Date: 01.05.2021 time: 09:53:19] | Player: 76561198396489573 Deposited 14218 on own account.
[Date: 01.05.2021 time: 09:58:46] | Player: 76561198022860956 Deposited 7925 on own account.
