[Date: 02.05.2021 time: 10:00:38] | Succesfully started BankingLogger
[Date: 02.05.2021 time: 10:12:42] | Player: 76561198022860956 withdrawed 80000 from own account.
[Date: 02.05.2021 time: 10:13:59] | Player: 76561198022860956 withdrawed 500 from own account.
[Date: 02.05.2021 time: 10:37:15] | Player: 76561198223714820 withdrawed 35000 from own account.
[Date: 02.05.2021 time: 11:07:52] | Player: 76561199148015671 Deposited 37818 on own account.
[Date: 02.05.2021 time: 11:08:50] | Player: 76561198254602740 Deposited 47500 on own account.
[Date: 02.05.2021 time: 11:45:23] | Player: 76561198037023350 Deposited 29988 on own account.
[Date: 02.05.2021 time: 11:46:00] | Player: 76561198999593356 withdrawed 10000 from own account.
[Date: 02.05.2021 time: 11:51:23] | Player: 76561198037023350 Deposited 15834 on own account.
[Date: 02.05.2021 time: 11:51:56] | Player: 76561198022860956 Deposited 51216 on own account.
[Date: 02.05.2021 time: 11:52:43] | Player: 76561198022860956 withdrawed 1000 from own account.
[Date: 02.05.2021 time: 11:54:25] | Player: 76561198022860956 withdrawed 10000 from own account.
[Date: 02.05.2021 time: 11:54:53] | Player: 76561198999593356 Deposited 2985 on own account.
[Date: 02.05.2021 time: 11:56:50] | Player: 76561198022860956 Deposited 4400 on own account.
[Date: 02.05.2021 time: 11:57:34] | Player: 76561198022860956 withdrawed 20000 from own account.
[Date: 02.05.2021 time: 11:58:49] | Player: 76561198037023350 Deposited 9533 on own account.
[Date: 02.05.2021 time: 12:01:42] | Player: 76561198223714820 withdrawed 20000 from own account.
[Date: 02.05.2021 time: 12:03:31] | Player: 76561198223714820 Deposited 4940 on own account.
[Date: 02.05.2021 time: 12:05:21] | Player: 76561198022860956 withdrawed 5000 from own account.
[Date: 02.05.2021 time: 12:06:02] | Player: 76561198022860956 Deposited 3100 on own account.
[Date: 02.05.2021 time: 12:18:05] | Player: 76561198999593356 withdrawed 1000 from own account.
[Date: 02.05.2021 time: 12:18:14] | Player: 76561198999593356 withdrawed 2000 from own account.
[Date: 02.05.2021 time: 12:46:46] | Player: 76561198254602740 Deposited 1584 on own account.
[Date: 02.05.2021 time: 12:47:24] | Player: 76561198254602740 withdrawed 73874 from own account.
[Date: 02.05.2021 time: 12:47:34] | Player: 76561198035432577 Deposited 10002 on own account.
[Date: 02.05.2021 time: 12:48:31] | Player: 76561198999593356 Deposited 2149 on own account.
[Date: 02.05.2021 time: 12:52:40] | Player: 76561198254602740 Deposited 70874 on own account.
[Date: 02.05.2021 time: 13:18:46] | Player: 76561198035432577 Deposited 18028 on own account.
[Date: 02.05.2021 time: 13:19:07] | Player: 76561198350617269 Deposited 36275 on own account.
[Date: 02.05.2021 time: 13:19:15] | Player: 76561198350617269 Deposited 450 on own account.
[Date: 02.05.2021 time: 13:20:59] | Player: 76561198350617269 Deposited 1807 on own account.
[Date: 02.05.2021 time: 13:35:42] | Player: 76561198350617269 Deposited 37530 on own account.
