[Date: 03.05.2021 time: 22:00:35] | Succesfully started BankingLogger
[Date: 03.05.2021 time: 22:05:39] | Player: 76561198862279183 Deposited 20 on own account.
[Date: 03.05.2021 time: 22:08:59] | Player: 76561198022860956 withdrawed 5000 from own account.
[Date: 03.05.2021 time: 22:12:54] | Player: 76561198022860956 Deposited 1520 on own account.
[Date: 03.05.2021 time: 22:49:12] | Player: 76561198035432577 withdrawed 20000 from own account.
[Date: 03.05.2021 time: 22:49:20] | Player: 76561198035432577 withdrawed 15728 from clan account.
[Date: 03.05.2021 time: 22:49:38] | Player: 76561198035432577 Deposited 20000 on own account.
[Date: 03.05.2021 time: 23:06:10] | Player: 76561198035432577 Deposited 18407 on own account.
[Date: 03.05.2021 time: 23:12:47] | Player: 76561198103994628 Deposited 32090 on own account.
[Date: 03.05.2021 time: 23:41:08] | Player: 76561197976576399 Deposited 58610 on own account.
[Date: 04.05.2021 time: 00:06:35] | Player: 76561199146161640 Deposited 112555 on own account.
[Date: 04.05.2021 time: 00:07:16] | Player: 76561199146161640 withdrawed 10000 from own account.
[Date: 04.05.2021 time: 00:12:17] | Player: 76561199146161640 Deposited 8200 on own account.
[Date: 04.05.2021 time: 00:12:54] | Player: 76561199146161640 withdrawed 10000 from own account.
[Date: 04.05.2021 time: 00:14:01] | Player: 76561199146161640 Deposited 9750 on own account.
[Date: 04.05.2021 time: 00:21:04] | Player: 76561198165336762 withdrawed 5000 from own account.
[Date: 04.05.2021 time: 00:27:53] | Player: 76561199146161640 withdrawed 5000 from own account.
[Date: 04.05.2021 time: 00:29:57] | Player: 76561199146161640 withdrawed 1000 from own account.
[Date: 04.05.2021 time: 00:30:11] | Player: 76561198035432577 Deposited 12532 on own account.
[Date: 04.05.2021 time: 00:42:51] | Player: 76561199146161640 withdrawed 10000 from own account.
[Date: 04.05.2021 time: 00:44:35] | Player: 76561198035432577 Deposited 25707 on own account.
[Date: 04.05.2021 time: 00:48:22] | Player: 76561198103994628 Deposited 192000 on own account.
[Date: 04.05.2021 time: 00:48:57] | Player: 76561199146161640 Deposited 7925 on own account.
[Date: 04.05.2021 time: 00:49:41] | Player: 76561198103994628 withdrawed 50000 from own account.
[Date: 04.05.2021 time: 00:49:47] | Player: 76561198103994628 Deposited 50000 on own account.
[Date: 04.05.2021 time: 00:51:10] | Player: 76561198035432577 Deposited 3314 on own account.
[Date: 04.05.2021 time: 00:51:27] | Player: 76561199146161640 Deposited 160000 on own account.
[Date: 04.05.2021 time: 00:51:40] | Player: 76561199146161640 withdrawed 300000 from own account.
[Date: 04.05.2021 time: 00:52:50] | Player: 76561199146161640 withdrawed 300000 from own account.
[Date: 04.05.2021 time: 00:52:56] | Player: 76561199146161640 withdrawed 48207 from own account.
[Date: 04.05.2021 time: 01:10:13] | Player: 76561198035432577 Deposited 784 on own account.
[Date: 04.05.2021 time: 01:12:38] | Player: 76561198013080573 Deposited 4000 on own account.
[Date: 04.05.2021 time: 01:16:45] | Player: 76561199146161640 Deposited 17302 on own account.
[Date: 04.05.2021 time: 01:20:41] | Player: 76561198035432577 withdrawed 5000 from own account.
[Date: 04.05.2021 time: 01:23:54] | Player: 76561198035432577 withdrawed 4605 from own account.
[Date: 04.05.2021 time: 01:27:17] | Player: 76561199146161640 withdrawed 1000 from own account.
[Date: 04.05.2021 time: 01:54:06] | Player: 76561199146161640 Deposited 39710 on own account.
[Date: 04.05.2021 time: 01:55:43] | Player: 76561199146161640 Deposited 684 on own account.
[Date: 04.05.2021 time: 01:58:05] | Player: 76561199146161640 withdrawed 5000 from own account.
[Date: 04.05.2021 time: 01:58:37] | Player: 76561199146161640 withdrawed 15000 from own account.
