[Date: 01.05.2021 time: 22:00:40] | Succesfully started BankingLogger
[Date: 01.05.2021 time: 22:05:11] | Player: 76561198022860956 withdrawed 5000 from own account.
[Date: 01.05.2021 time: 22:11:39] | Player: 76561198103994628 withdrawed 7000 from own account.
[Date: 01.05.2021 time: 22:15:44] | Player: 76561198103994628 Deposited 6700 on own account.
[Date: 01.05.2021 time: 22:16:06] | Player: 76561198103994628 withdrawed 4000 from own account.
[Date: 01.05.2021 time: 22:16:42] | Player: 76561198103994628 Deposited 100 on own account.
[Date: 01.05.2021 time: 22:16:55] | Player: 76561198254602740 withdrawed 2925 from own account.
[Date: 01.05.2021 time: 22:17:20] | Player: 76561198254602740 Deposited 2790 on own account.
[Date: 01.05.2021 time: 23:25:36] | Player: 76561198037023350 withdrawed 10000 from own account.
[Date: 01.05.2021 time: 23:27:50] | Player: 76561198037023350 Deposited 9000 on own account.
[Date: 01.05.2021 time: 23:32:18] | Player: 76561198022860956 Deposited 13767 on own account.
[Date: 01.05.2021 time: 23:37:49] | Player: 76561198022860956 Deposited 2250 on own account.
[Date: 01.05.2021 time: 23:46:35] | Player: 76561198301100124 Deposited 4775 on own account.
[Date: 01.05.2021 time: 23:48:01] | Player: 76561198301100124 withdrawed 12000 from own account.
[Date: 01.05.2021 time: 23:49:07] | Player: 76561199148015671 Deposited 66269 on own account.
[Date: 01.05.2021 time: 23:50:18] | Player: 76561198301100124 Deposited 5800 on own account.
[Date: 02.05.2021 time: 00:10:50] | Player: 76561199122053225 Deposited 32298 on own account.
[Date: 02.05.2021 time: 00:15:54] | Player: 76561198254602740 Deposited 20000 on own account.
[Date: 02.05.2021 time: 00:16:11] | Player: 76561199146161640 Deposited 20000 on own account.
[Date: 02.05.2021 time: 00:16:22] | Player: 76561198103994628 Deposited 20000 on own account.
[Date: 02.05.2021 time: 00:16:44] | Player: 76561198969225016 Deposited 60000 on own account.
[Date: 02.05.2021 time: 00:18:14] | Player: 76561199156952824 withdrawed 1000 from own account.
[Date: 02.05.2021 time: 00:21:39] | Player: 76561199146161640 withdrawed 25000 from own account.
[Date: 02.05.2021 time: 00:22:30] | Player: 76561199156952824 Deposited 130 on own account.
[Date: 02.05.2021 time: 00:28:34] | Player: 76561199146161640 Deposited 400 on own account.
[Date: 02.05.2021 time: 00:33:46] | Player: 76561198103994628 Deposited 2100 on own account.
[Date: 02.05.2021 time: 00:34:15] | Player: 76561198103994628 Deposited 240 on own account.
[Date: 02.05.2021 time: 00:47:24] | Player: 76561197976576399 Deposited 15959 on own account.
[Date: 02.05.2021 time: 00:48:58] | Player: 76561198099487602 Deposited 280 on own account.
[Date: 02.05.2021 time: 00:59:19] | Player: 76561199156952824 Deposited 10800 on own account.
[Date: 02.05.2021 time: 01:08:08] | Player: 76561198103994628 Deposited 6790 on own account.
[Date: 02.05.2021 time: 01:55:41] | Player: 76561199122053225 Deposited 25003 on own account.
