[Date: 05.05.2021 time: 06:00:31] | Succesfully started BankingLogger
[Date: 05.05.2021 time: 06:14:28] | Player: 76561197984956790 Deposited 12585 on own account.
[Date: 05.05.2021 time: 06:59:42] | Player: 76561198066706197 Deposited 240 on own account.
[Date: 05.05.2021 time: 06:59:47] | Player: 76561198066706197 withdrawed 1000 from own account.
[Date: 05.05.2021 time: 07:00:44] | Player: 76561198066706197 withdrawed 2000 from own account.
[Date: 05.05.2021 time: 07:06:21] | Player: 76561198066706197 Deposited 560 on own account.
[Date: 05.05.2021 time: 07:07:08] | Player: 76561198066706197 withdrawed 60000 from own account.
[Date: 05.05.2021 time: 07:29:47] | Player: 76561198066706197 withdrawed 6000 from own account.
[Date: 05.05.2021 time: 07:30:43] | Player: 76561198066706197 Deposited 700 on own account.
[Date: 05.05.2021 time: 08:53:23] | Player: 76561198396489573 Deposited 900 on own account.
[Date: 05.05.2021 time: 08:54:35] | Player: 76561198022860956 withdrawed 5000 from own account.
[Date: 05.05.2021 time: 09:00:26] | Player: 76561198022860956 withdrawed 5000 from own account.
[Date: 05.05.2021 time: 09:15:45] | Player: 76561198022860956 Deposited 1515 on own account.
