[Date: 25.04.2021 time: 10:01:20] | Succesfully started BankingLogger
[Date: 25.04.2021 time: 10:23:08] | Player: 76561198037023350 Deposited 506 on own account.
[Date: 25.04.2021 time: 10:23:14] | Player: 76561198037023350 withdrawed 7000 from own account.
[Date: 25.04.2021 time: 10:29:45] | Player: 76561198037023350 Deposited 280 on own account.
[Date: 25.04.2021 time: 10:29:51] | Player: 76561198037023350 withdrawed 1500 from own account.
[Date: 25.04.2021 time: 10:33:45] | Player: 76561198037023350 Deposited 425 on own account.
[Date: 25.04.2021 time: 10:36:58] | Player: 76561198037023350 withdrawed 2000 from own account.
[Date: 25.04.2021 time: 10:37:44] | Player: 76561198037023350 Deposited 250 on own account.
[Date: 25.04.2021 time: 12:02:39] | Player: 76561197991428971 Deposited 500 on own account.
[Date: 25.04.2021 time: 12:07:19] | Player: 76561198144170227 Deposited 1365 on own account.
[Date: 25.04.2021 time: 12:10:41] | Player: 76561198144170227 withdrawed 35000 from own account.
[Date: 25.04.2021 time: 12:15:27] | Player: 76561198144170227 withdrawed 10000 from own account.
[Date: 25.04.2021 time: 12:49:33] | Player: 76561198999593356 withdrawed 10000 from clan account.
[Date: 25.04.2021 time: 12:55:21] | Player: 76561198254602740 withdrawed 9888 from own account.
[Date: 25.04.2021 time: 12:55:43] | Player: 76561198254602740 Deposited 4888 on own account.
[Date: 25.04.2021 time: 12:56:42] | Player: 76561199148015671 withdrawed 500 from own account.
[Date: 25.04.2021 time: 12:57:17] | Player: 76561199148015671 withdrawed 500 from own account.
[Date: 25.04.2021 time: 13:11:55] | Player: 76561198037023350 Deposited 13548 on own account.
[Date: 25.04.2021 time: 13:36:59] | Player: 76561198152771835 Deposited 8755 on own account.
[Date: 25.04.2021 time: 13:42:17] | Player: 76561198284652800 withdrawed 75846 from own account.
[Date: 25.04.2021 time: 13:44:15] | Player: 76561198254602740 withdrawed 93898 from own account.
[Date: 25.04.2021 time: 13:44:42] | Player: 76561198254602740 Deposited 92898 on own account.
[Date: 25.04.2021 time: 13:46:31] | Player: 76561198035432577 withdrawed 10000 from own account.
[Date: 25.04.2021 time: 13:46:43] | Player: 76561198254602740 withdrawed 92898 from own account.
[Date: 25.04.2021 time: 13:47:50] | Player: 76561198254602740 Deposited 81898 on own account.
[Date: 25.04.2021 time: 13:55:05] | Player: 76561198254602740 withdrawed 3333 from own account.
[Date: 25.04.2021 time: 13:55:43] | Player: 76561198254602740 Deposited 773 on own account.
