[Date: 04.05.2021 time: 18:18:26] | Succesfully started BankingLogger
[Date: 04.05.2021 time: 18:26:36] | Player: 76561198350617269 Deposited 40220 on own account.
[Date: 04.05.2021 time: 18:44:40] | Player: 76561198022860956 Deposited 62575 on own account.
[Date: 04.05.2021 time: 18:48:25] | Player: 76561198096469059 Deposited 9520 on own account.
[Date: 04.05.2021 time: 18:54:13] | Player: 76561199121764782 Deposited 35000 on own account.
[Date: 04.05.2021 time: 19:02:44] | Player: 76561199166448618 Deposited 20392 on own account.
[Date: 04.05.2021 time: 19:05:45] | Player: 76561199166448618 withdrawed 2000 from own account.
[Date: 04.05.2021 time: 19:14:00] | Player: 76561199156952824 Deposited 15665 on own account.
[Date: 04.05.2021 time: 19:20:21] | Player: 76561199166448618 Deposited 5265 on own account.
[Date: 04.05.2021 time: 19:21:07] | Player: 76561198350617269 Deposited 11402 on own account.
[Date: 04.05.2021 time: 19:28:15] | Player: 76561199121764782 Deposited 4300 on own account.
[Date: 04.05.2021 time: 19:48:39] | Player: 76561198350617269 Deposited 51219 on own account.
[Date: 04.05.2021 time: 19:50:48] | Player: 76561199156952824 Deposited 300000 on own account.
[Date: 04.05.2021 time: 19:52:51] | Player: 76561198946609183 Deposited 31089 on own account.
[Date: 04.05.2021 time: 19:58:55] | Player: 76561198946609183 Deposited 600 on own account.
[Date: 04.05.2021 time: 20:03:44] | Player: 76561198396489573 withdrawed 300 from own account.
[Date: 04.05.2021 time: 20:08:16] | Player: 76561199148015671 Deposited 26362 on own account.
[Date: 04.05.2021 time: 20:34:31] | Player: 76561199122053225 Deposited 14105 on own account.
[Date: 04.05.2021 time: 20:52:43] | Player: 76561199166448618 Deposited 35900 on own account.
[Date: 04.05.2021 time: 20:54:11] | Player: 76561199166448618 withdrawed 60238 from own account.
[Date: 04.05.2021 time: 21:00:11] | Player: 76561199148015671 Deposited 10000 on own account.
[Date: 04.05.2021 time: 21:06:26] | Player: 76561198022860956 Deposited 7300 on own account.
[Date: 04.05.2021 time: 21:22:53] | Player: 76561198301100124 Deposited 35225 on own account.
[Date: 04.05.2021 time: 21:27:50] | Player: 76561198022860956 Deposited 2550 on own account.
[Date: 04.05.2021 time: 21:33:28] | Player: 76561199122053225 withdrawed 4000 from own account.
