[Date: 25.04.2021 time: 14:02:14] | Succesfully started BankingLogger
[Date: 25.04.2021 time: 14:08:44] | Player: 76561198999593356 withdrawed 500 from own account.
[Date: 25.04.2021 time: 14:09:30] | Player: 76561198999593356 Deposited 319 on own account.
[Date: 25.04.2021 time: 14:10:36] | Player: 76561198152771835 withdrawed 10000 from own account.
[Date: 25.04.2021 time: 14:13:45] | Player: 76561198152771835 Deposited 9985 on own account.
[Date: 25.04.2021 time: 14:27:28] | Player: 76561198100717229 withdrawed 3333 from own account.
[Date: 25.04.2021 time: 14:27:33] | Player: 76561198100717229 withdrawed 50000 from own account.
[Date: 25.04.2021 time: 14:30:06] | Player: 76561198284652800 Deposited 62734 on own account.
[Date: 25.04.2021 time: 14:30:50] | Player: 76561198100717229 Deposited 23133 on own account.
[Date: 25.04.2021 time: 14:44:52] | Player: 76561198162344833 withdrawed 10000 from own account.
[Date: 25.04.2021 time: 14:46:32] | Player: 76561198162344833 Deposited 9200 on own account.
[Date: 25.04.2021 time: 14:46:42] | Player: 76561198162344833 withdrawed 2000 from own account.
[Date: 25.04.2021 time: 14:48:05] | Player: 76561198100717229 withdrawed 4000 from own account.
[Date: 25.04.2021 time: 14:48:34] | Player: 76561198100717229 Deposited 1000 on own account.
[Date: 25.04.2021 time: 14:52:55] | Player: 76561199116927487 withdrawed 100000 from own account.
[Date: 25.04.2021 time: 14:54:27] | Player: 76561198042235031 Deposited 1245 on own account.
[Date: 25.04.2021 time: 14:57:16] | Player: 76561198042235031 Deposited 500 on own account.
[Date: 25.04.2021 time: 14:59:22] | Player: 76561198421975055 withdrawed 6438 from own account.
[Date: 25.04.2021 time: 14:59:36] | Player: 76561198421975055 withdrawed 20000 from own account.
[Date: 25.04.2021 time: 15:05:48] | Player: 76561198254602740 withdrawed 80338 from own account.
[Date: 25.04.2021 time: 15:07:00] | Player: 76561198254602740 Deposited 54228 on own account.
[Date: 25.04.2021 time: 15:07:47] | Player: 76561198421975055 withdrawed 12000 from own account.
[Date: 25.04.2021 time: 15:10:00] | Player: 76561198421975055 Deposited 494 on own account.
