[Date: 26.04.2021 time: 02:01:25] | Succesfully started BankingLogger
[Date: 26.04.2021 time: 02:45:45] | Player: 76561198162344833 Deposited 13675 on own account.
[Date: 26.04.2021 time: 02:55:47] | Player: 76561199156952824 Deposited 17256 on own account.
[Date: 26.04.2021 time: 04:34:14] | Player: 76561198081900587 Deposited 18278 on own account.
[Date: 26.04.2021 time: 04:37:10] | Player: 76561198081900587 withdrawed 10000 from own account.
[Date: 26.04.2021 time: 04:45:23] | Player: 76561198081900587 Deposited 4250 on own account.
[Date: 26.04.2021 time: 05:43:27] | Player: 76561199128139154 withdrawed 1000 from own account.
[Date: 26.04.2021 time: 05:43:32] | Player: 76561199128139154 withdrawed 1000 from own account.
[Date: 26.04.2021 time: 05:43:33] | Player: 76561199128139154 withdrawed 1000 from own account.
[Date: 26.04.2021 time: 05:43:35] | Player: 76561199128139154 withdrawed 1000 from own account.
[Date: 26.04.2021 time: 05:43:39] | Player: 76561199128139154 withdrawed 1000 from own account.
[Date: 26.04.2021 time: 05:47:55] | Player: 76561199128139154 Deposited 885 on own account.
[Date: 26.04.2021 time: 05:55:10] | Player: 76561199128139154 Deposited 1312 on own account.
[Date: 26.04.2021 time: 05:55:17] | Player: 76561199128139154 withdrawed 1450 from own account.
