[Date: 04.05.2021 time: 02:00:39] | Succesfully started BankingLogger
[Date: 04.05.2021 time: 02:07:41] | Player: 76561199156952824 Deposited 357900 on own account.
[Date: 04.05.2021 time: 02:07:51] | Player: 76561198165336762 Deposited 4865 on own account.
[Date: 04.05.2021 time: 02:16:16] | Player: 76561199148015671 withdrawed 500 from own account.
[Date: 04.05.2021 time: 03:01:25] | Player: 76561198013080573 Deposited 16698 on own account.
[Date: 04.05.2021 time: 03:06:22] | Player: 76561198013080573 Deposited 4250 on own account.
[Date: 04.05.2021 time: 03:24:15] | Player: 76561199148015671 Deposited 93643 on own account.
[Date: 04.05.2021 time: 03:27:59] | Player: 76561199148015671 Deposited 10000 on own account.
[Date: 04.05.2021 time: 03:50:56] | Player: 76561199146161640 Deposited 266250 on own account.
[Date: 04.05.2021 time: 03:52:05] | Player: 76561197984956790 Deposited 2358 on own account.
[Date: 04.05.2021 time: 03:52:57] | Player: 76561198099487602 Deposited 9975 on own account.
[Date: 04.05.2021 time: 03:54:28] | Player: 76561198099487602 withdrawed 300 from own account.
[Date: 04.05.2021 time: 03:55:21] | Player: 76561198099487602 Deposited 130 on own account.
[Date: 04.05.2021 time: 04:09:17] | Player: 76561199148015671 withdrawed 40000 from own account.
[Date: 04.05.2021 time: 04:42:04] | Player: 76561198099487602 Deposited 45906 on own account.
[Date: 04.05.2021 time: 04:42:34] | Player: 76561199156952824 Deposited 1350 on own account.
[Date: 04.05.2021 time: 04:42:52] | Player: 76561199156952824 withdrawed 110000 from own account.
[Date: 04.05.2021 time: 04:43:49] | Player: 76561198350617269 Deposited 41010 on own account.
[Date: 04.05.2021 time: 04:47:39] | Player: 76561198099487602 Deposited 2700 on own account.
[Date: 04.05.2021 time: 05:06:40] | Player: 76561198350617269 Deposited 39601 on own account.
[Date: 04.05.2021 time: 05:25:18] | Player: 76561199156952824 Deposited 3560 on own account.
[Date: 04.05.2021 time: 05:41:03] | Player: 76561199156952824 withdrawed 10000 from own account.
[Date: 04.05.2021 time: 05:48:07] | Player: 76561199156952824 withdrawed 20000 from own account.
