[Date: 21.04.2021 time: 22:01:30] | Succesfully started BankingLogger
[Date: 21.04.2021 time: 22:06:43] | Player: 76561199148015671 Deposited 38327 on own account.
[Date: 21.04.2021 time: 22:16:27] | Player: 76561198086725669 withdrawed 200000 from own account.
[Date: 21.04.2021 time: 22:17:21] | Player: 76561198086725669 Deposited 128000 on own account.
[Date: 21.04.2021 time: 22:29:40] | Player: 76561198067290448 withdrawed 50000 from own account.
[Date: 21.04.2021 time: 22:29:42] | Player: 76561197976576399 withdrawed 50000 from own account.
[Date: 21.04.2021 time: 22:29:47] | Player: 76561198067290448 withdrawed 0 from own account.
[Date: 21.04.2021 time: 22:29:55] | Player: 76561197976576399 Deposited 50000 on own account.
[Date: 21.04.2021 time: 22:30:27] | Player: 76561198018756479 Deposited 313923 on own account.
[Date: 21.04.2021 time: 22:30:29] | Player: 76561198018756479 Deposited 0 on own account.
[Date: 21.04.2021 time: 22:34:27] | Player: 76561198059393283 Deposited 396 on own account.
[Date: 21.04.2021 time: 22:34:34] | Player: 76561198018756479 withdrawed 313931 from own account.
[Date: 21.04.2021 time: 22:35:08] | Player: 76561197976576399 withdrawed 50000 from own account.
[Date: 21.04.2021 time: 22:37:31] | Player: 76561198018756479 Deposited 313831 on own account.
[Date: 21.04.2021 time: 22:37:36] | Player: 76561198073894255 Deposited 317492 on own account.
[Date: 21.04.2021 time: 22:40:34] | Player: 76561199148015671 Deposited 7494 on own account.
[Date: 21.04.2021 time: 22:43:37] | Player: 76561197976576399 Deposited 0 on own account.
[Date: 21.04.2021 time: 22:52:36] | Player: 76561197991428971 Deposited 9600 on own account.
[Date: 21.04.2021 time: 23:12:26] | Player: 76561199116927487 Deposited 2120 on own account.
[Date: 21.04.2021 time: 23:16:56] | Player: 76561198999593356 Deposited 7000 on own account.
[Date: 21.04.2021 time: 23:21:36] | Player: 76561198035432577 withdrawed 1518505 from own account.
[Date: 21.04.2021 time: 23:22:07] | Player: 76561199116927487 withdrawed 3000 from own account.
[Date: 21.04.2021 time: 23:28:02] | Player: 76561198152771835 Deposited 4225 on own account.
[Date: 21.04.2021 time: 23:28:29] | Player: 76561198035432577 Deposited 30235 on own account.
[Date: 21.04.2021 time: 23:29:13] | Player: 76561199116927487 Deposited 1280 on own account.
[Date: 21.04.2021 time: 23:29:21] | Player: 76561198248781076 Deposited 9181 on own account.
[Date: 21.04.2021 time: 23:31:07] | Player: 76561198152771835 withdrawed 1400 from own account.
[Date: 21.04.2021 time: 23:32:52] | Player: 76561198152771835 withdrawed 300 from own account.
