[Date: 01.05.2021 time: 03:03:11] | Succesfully started BankingLogger
[Date: 01.05.2021 time: 03:52:03] | Player: 76561198280789118 Deposited 24055 on own account.
[Date: 01.05.2021 time: 03:57:07] | Player: 76561198280789118 Deposited 15923 on own account.
[Date: 01.05.2021 time: 04:12:51] | Player: 76561198066706197 Deposited 2000 on own account.
[Date: 01.05.2021 time: 04:22:53] | Player: 76561198013080573 Deposited 300 on own account.
[Date: 01.05.2021 time: 04:24:19] | Player: 76561198280789118 Deposited 5192 on own account.
[Date: 01.05.2021 time: 04:27:46] | Player: 76561198999593356 withdrawed 2000 from own account.
[Date: 01.05.2021 time: 04:28:03] | Player: 76561198280789118 Deposited 190 on own account.
[Date: 01.05.2021 time: 04:42:46] | Player: 76561198035432577 Deposited 31811 on own account.
[Date: 01.05.2021 time: 04:42:47] | Player: 76561198066706197 Deposited 16699 on own account.
[Date: 01.05.2021 time: 04:47:17] | Player: 76561198066706197 Deposited 2715 on own account.
[Date: 01.05.2021 time: 04:58:22] | Player: 76561198035432577 Deposited 13822 on own account.
[Date: 01.05.2021 time: 05:19:25] | Player: 76561198035432577 Deposited 680 on own account.
[Date: 01.05.2021 time: 05:41:15] | Player: 76561198280789118 Deposited 22960 on own account.
[Date: 01.05.2021 time: 05:43:25] | Player: 76561198280789118 Deposited 5000 on own account.
[Date: 01.05.2021 time: 05:44:08] | Player: 76561198035432577 Deposited 8800 on own account.
