[Date: 27.04.2021 time: 10:01:12] | Succesfully started BankingLogger
[Date: 27.04.2021 time: 10:15:50] | Player: 76561198223714820 Deposited 54895 on own account.
[Date: 27.04.2021 time: 10:20:45] | Player: 76561198223714820 withdrawed 140 from own account.
[Date: 27.04.2021 time: 10:55:32] | Player: 76561198037023350 Deposited 14781 on own account.
[Date: 27.04.2021 time: 11:08:20] | Player: 76561198223714820 Deposited 15725 on own account.
[Date: 27.04.2021 time: 11:44:56] | Player: 76561198223714820 withdrawed 10100 from own account.
[Date: 27.04.2021 time: 11:45:02] | Player: 76561198223714820 Deposited 40 on own account.
[Date: 27.04.2021 time: 11:46:27] | Player: 76561198223714820 withdrawed 10000 from own account.
[Date: 27.04.2021 time: 12:53:25] | Player: 76561198223714820 withdrawed 20000 from own account.
[Date: 27.04.2021 time: 13:35:05] | Player: 76561198037023350 Deposited 40095 on own account.
[Date: 27.04.2021 time: 13:41:19] | Player: 76561198254602740 withdrawed 7713 from own account.
[Date: 27.04.2021 time: 13:41:52] | Player: 76561198254602740 Deposited 4013 on own account.
[Date: 27.04.2021 time: 13:45:02] | Player: 76561198037023350 Deposited 37285 on own account.
[Date: 27.04.2021 time: 13:48:24] | Player: 76561198037023350 Deposited 21715 on own account.
[Date: 27.04.2021 time: 13:52:34] | Player: 76561198037023350 Deposited 27000 on own account.
