[Date: 04.05.2021 time: 08:02:17] | Succesfully started BankingLogger
[Date: 04.05.2021 time: 08:14:22] | Player: 76561198152771835 Deposited 16171 on own account.
[Date: 04.05.2021 time: 08:16:17] | Player: 76561198152771835 Deposited 15846 on own account.
[Date: 04.05.2021 time: 08:16:52] | Player: 76561198350617269 Deposited 10000 on own account.
[Date: 04.05.2021 time: 08:18:26] | Player: 76561198152771835 Deposited 12500 on own account.
[Date: 04.05.2021 time: 08:21:40] | Player: 76561198152771835 Deposited 17600 on own account.
[Date: 04.05.2021 time: 08:24:54] | Player: 76561198152771835 Deposited 18100 on own account.
[Date: 04.05.2021 time: 08:26:53] | Player: 76561198152771835 Deposited 11640 on own account.
[Date: 04.05.2021 time: 08:37:40] | Player: 76561198152771835 Deposited 26215 on own account.
[Date: 04.05.2021 time: 08:46:46] | Player: 76561198350617269 Deposited 15292 on own account.
[Date: 04.05.2021 time: 08:57:11] | Player: 76561197984956790 Deposited 962 on own account.
[Date: 04.05.2021 time: 09:03:13] | Player: 76561197984956790 withdrawed 53320 from own account.
[Date: 04.05.2021 time: 09:06:38] | Player: 76561197984956790 Deposited 47020 on own account.
[Date: 04.05.2021 time: 09:10:10] | Player: 76561198396489573 Deposited 40 on own account.
[Date: 04.05.2021 time: 09:21:22] | Player: 76561198152771835 Deposited 5675 on own account.
[Date: 04.05.2021 time: 09:51:02] | Player: 76561198022860956 withdrawed 10000 from own account.
