[Date: 22.04.2021 time: 15:08:56] | Succesfully started BankingLogger
[Date: 22.04.2021 time: 15:12:18] | Player: 76561198223714820 withdrawed 100000 from own account.
[Date: 22.04.2021 time: 15:29:10] | Player: 76561198198409010 withdrawed 1000000 from own account.
[Date: 22.04.2021 time: 15:29:58] | Player: 76561198081900587 Deposited 868 on own account.
[Date: 22.04.2021 time: 15:30:03] | Player: 76561198081900587 withdrawed 5000 from own account.
[Date: 22.04.2021 time: 15:30:33] | Player: 76561198198409010 withdrawed 5000 from own account.
[Date: 22.04.2021 time: 15:40:48] | Player: 76561198059393283 Deposited 1153 on own account.
[Date: 22.04.2021 time: 15:41:30] | Player: 76561198198409010 Deposited 25 on own account.
[Date: 22.04.2021 time: 15:43:14] | Player: 76561199076812837 Deposited 1675 on own account.
[Date: 22.04.2021 time: 15:43:42] | Player: 76561198086725669 withdrawed 200000 from own account.
[Date: 22.04.2021 time: 15:45:36] | Player: 76561198086725669 Deposited 191300 on own account.
[Date: 22.04.2021 time: 15:50:17] | Player: 76561197991428971 Deposited 159850 on own account.
[Date: 22.04.2021 time: 15:50:27] | Player: 76561197991428971 withdrawed 79925 from own account.
[Date: 22.04.2021 time: 15:50:42] | Player: 76561199148015671 Deposited 14376 on own account.
[Date: 22.04.2021 time: 15:50:48] | Player: 76561198059393283 Deposited 79925 on own account.
[Date: 22.04.2021 time: 15:58:58] | Player: 76561199148015671 Deposited 15500 on own account.
[Date: 22.04.2021 time: 16:03:06] | Player: 76561198059393283 Deposited 10873 on own account.
[Date: 22.04.2021 time: 16:03:24] | Player: 76561198254602740 withdrawed 94427 from own account.
[Date: 22.04.2021 time: 16:07:50] | Player: 76561199076812837 withdrawed 6000 from own account.
[Date: 22.04.2021 time: 16:14:12] | Player: 76561197991428971 Deposited 500 on own account.
[Date: 22.04.2021 time: 16:16:01] | Player: 76561197965508404 Deposited 24900 on own account.
[Date: 22.04.2021 time: 16:19:33] | Player: 76561198254602740 Deposited 72366 on own account.
[Date: 22.04.2021 time: 16:20:55] | Player: 76561198254602740 withdrawed 72366 from own account.
[Date: 22.04.2021 time: 16:25:35] | Player: 76561198254602740 Deposited 66366 on own account.
[Date: 22.04.2021 time: 16:27:49] | Player: 76561198254602740 withdrawed 66366 from own account.
[Date: 22.04.2021 time: 16:28:14] | Player: 76561198254602740 Deposited 66166 on own account.
[Date: 22.04.2021 time: 16:29:28] | Player: 76561198254602740 withdrawed 66166 from own account.
[Date: 22.04.2021 time: 16:36:50] | Player: 76561198223714820 Deposited 89450 on own account.
[Date: 22.04.2021 time: 16:43:31] | Player: 76561198254602740 Deposited 50472 on own account.
[Date: 22.04.2021 time: 16:45:34] | Player: 76561198102413120 withdrawed 362331 from own account.
[Date: 22.04.2021 time: 16:46:26] | Player: 76561198102413120 Deposited 370927 on own account.
[Date: 22.04.2021 time: 16:47:14] | Player: 76561198254602740 withdrawed 50000 from own account.
[Date: 22.04.2021 time: 16:48:43] | Player: 76561198254602740 Deposited 42850 on own account.
[Date: 22.04.2021 time: 16:54:48] | Player: 76561198254602740 withdrawed 43322 from own account.
[Date: 22.04.2021 time: 16:54:52] | Player: 76561198123840840 Deposited 58386 on own account.
[Date: 22.04.2021 time: 16:57:25] | Player: 76561197965508404 withdrawed 10000 from own account.
[Date: 22.04.2021 time: 16:58:05] | Player: 76561197965508404 Deposited 12570 on own account.
[Date: 22.04.2021 time: 16:58:21] | Player: 76561198254602740 withdrawed 0 from own account.
[Date: 22.04.2021 time: 16:58:26] | Player: 76561198254602740 Deposited 43122 on own account.
[Date: 22.04.2021 time: 16:58:56] | Player: 76561198035432577 Deposited 12060 on own account.
[Date: 22.04.2021 time: 17:00:55] | Player: 76561198123840840 Deposited 15400 on own account.
[Date: 22.04.2021 time: 17:01:48] | Player: 76561198123840840 withdrawed 1000 from own account.
[Date: 22.04.2021 time: 17:10:46] | Player: 76561198034506545 withdrawed 50000 from own account.
[Date: 22.04.2021 time: 17:14:00] | Player: 76561198162344833 withdrawed 80000 from own account.
[Date: 22.04.2021 time: 17:16:13] | Player: 76561198144170227 withdrawed 16747 from own account.
[Date: 22.04.2021 time: 17:27:37] | Player: 76561198144170227 Deposited 293 on own account.
[Date: 22.04.2021 time: 17:44:04] | Player: 76561198034506545 withdrawed 42000 from own account.
[Date: 22.04.2021 time: 17:44:41] | Player: 76561198034506545 withdrawed 10000 from own account.
[Date: 22.04.2021 time: 17:48:35] | Player: 76561198034506545 Deposited 4026 on own account.
[Date: 22.04.2021 time: 17:49:52] | Player: 76561198034506545 withdrawed 100 from own account.
[Date: 22.04.2021 time: 17:49:54] | Player: 76561198034506545 withdrawed 100 from own account.
[Date: 22.04.2021 time: 17:49:56] | Player: 76561198034506545 withdrawed 100 from own account.
[Date: 22.04.2021 time: 17:49:57] | Player: 76561198034506545 withdrawed 100 from own account.
[Date: 22.04.2021 time: 17:49:59] | Player: 76561198034506545 withdrawed 100 from own account.
[Date: 22.04.2021 time: 17:50:00] | Player: 76561198034506545 withdrawed 100 from own account.
[Date: 22.04.2021 time: 17:50:01] | Player: 76561198034506545 withdrawed 100 from own account.
[Date: 22.04.2021 time: 17:50:02] | Player: 76561198034506545 withdrawed 100 from own account.
[Date: 22.04.2021 time: 17:50:03] | Player: 76561198034506545 withdrawed 100 from own account.
[Date: 22.04.2021 time: 17:50:04] | Player: 76561198034506545 withdrawed 100 from own account.
[Date: 22.04.2021 time: 17:58:17] | Player: 76561198839448946 withdrawed 23000 from own account.
