[Date: 02.05.2021 time: 06:00:30] | Succesfully started BankingLogger
[Date: 02.05.2021 time: 06:21:45] | Player: 76561198350617269 Deposited 27245 on own account.
[Date: 02.05.2021 time: 07:15:17] | Player: 76561198350617269 Deposited 20113 on own account.
[Date: 02.05.2021 time: 07:17:58] | Player: 76561198350617269 withdrawed 400 from own account.
[Date: 02.05.2021 time: 07:18:57] | Player: 76561198350617269 Deposited 300 on own account.
[Date: 02.05.2021 time: 07:19:33] | Player: 76561198223714820 Deposited 11800 on own account.
[Date: 02.05.2021 time: 07:20:03] | Player: 76561198223714820 withdrawed 1300 from own account.
[Date: 02.05.2021 time: 07:22:50] | Player: 76561198350617269 Deposited 936 on own account.
[Date: 02.05.2021 time: 07:38:25] | Player: 76561198037023350 withdrawed 5000 from own account.
[Date: 02.05.2021 time: 07:47:52] | Player: 76561198350617269 Deposited 26150 on own account.
[Date: 02.05.2021 time: 07:54:21] | Player: 76561198037023350 Deposited 3209 on own account.
[Date: 02.05.2021 time: 07:57:39] | Player: 76561198037023350 Deposited 480 on own account.
[Date: 02.05.2021 time: 08:01:04] | Player: 76561198223714820 withdrawed 30000 from own account.
[Date: 02.05.2021 time: 08:12:01] | Player: 76561199156952824 Deposited 320 on own account.
[Date: 02.05.2021 time: 08:12:29] | Player: 76561198022860956 withdrawed 4000 from own account.
[Date: 02.05.2021 time: 08:14:11] | Player: 76561199156952824 withdrawed 900 from own account.
[Date: 02.05.2021 time: 08:21:10] | Player: 76561198022860956 Deposited 4210 on own account.
[Date: 02.05.2021 time: 08:22:53] | Player: 76561198022860956 withdrawed 4000 from own account.
[Date: 02.05.2021 time: 08:24:27] | Player: 76561198350617269 Deposited 19370 on own account.
[Date: 02.05.2021 time: 08:26:35] | Player: 76561198022860956 Deposited 2544 on own account.
[Date: 02.05.2021 time: 08:29:04] | Player: 76561198223714820 Deposited 25000 on own account.
[Date: 02.05.2021 time: 08:29:15] | Player: 76561198223714820 withdrawed 20000 from own account.
[Date: 02.05.2021 time: 08:54:26] | Player: 76561198350617269 Deposited 17696 on own account.
[Date: 02.05.2021 time: 09:12:01] | Player: 76561198223714820 Deposited 200 on own account.
[Date: 02.05.2021 time: 09:13:23] | Player: 76561198152771835 Deposited 10782 on own account.
[Date: 02.05.2021 time: 09:13:25] | Player: 76561198223714820 withdrawed 100 from own account.
[Date: 02.05.2021 time: 09:14:14] | Player: 76561198223714820 Deposited 30 on own account.
[Date: 02.05.2021 time: 09:22:53] | Player: 76561198152771835 Deposited 5710 on own account.
[Date: 02.05.2021 time: 09:24:19] | Player: 76561198152771835 Deposited 400 on own account.
[Date: 02.05.2021 time: 09:28:09] | Player: 76561198350617269 Deposited 14170 on own account.
[Date: 02.05.2021 time: 09:42:00] | Player: 76561198350617269 Deposited 18710 on own account.
[Date: 02.05.2021 time: 09:52:25] | Player: 76561198022860956 Deposited 14863 on own account.
