[Date: 23.04.2021 time: 14:00:55] | Succesfully started BankingLogger
[Date: 23.04.2021 time: 14:07:59] | Player: 76561198969225016 withdrawed 500000 from own account.
[Date: 23.04.2021 time: 14:08:07] | Player: 76561198969225016 Deposited 500000 on own account.
[Date: 23.04.2021 time: 14:08:43] | Player: 76561198037023350 Deposited 850 on own account.
[Date: 23.04.2021 time: 14:08:53] | Player: 76561198037023350 withdrawed 5000 from own account.
[Date: 23.04.2021 time: 14:09:03] | Player: 76561198999593356 Deposited 2105 on own account.
[Date: 23.04.2021 time: 14:10:10] | Player: 76561198037023350 withdrawed 500000 from own account.
[Date: 23.04.2021 time: 14:13:36] | Player: 76561198162344833 withdrawed 10000 from own account.
[Date: 23.04.2021 time: 14:15:23] | Player: 76561198162344833 withdrawed 7940 from own account.
[Date: 23.04.2021 time: 14:15:27] | Player: 76561198162344833 Deposited 15880 on own account.
[Date: 23.04.2021 time: 14:27:19] | Player: 76561198214237033 withdrawed 60000 from own account.
[Date: 23.04.2021 time: 14:27:25] | Player: 76561198214237033 withdrawed 4000 from own account.
[Date: 23.04.2021 time: 14:29:58] | Player: 76561198214237033 withdrawed 3000 from own account.
[Date: 23.04.2021 time: 14:34:41] | Player: 76561198214237033 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 14:35:25] | Player: 76561198979058621 Deposited 4900 on own account.
[Date: 23.04.2021 time: 14:36:02] | Player: 76561198086725669 Deposited 10630 on own account.
[Date: 23.04.2021 time: 14:36:37] | Player: 76561198162344833 Deposited 1700 on own account.
[Date: 23.04.2021 time: 14:43:15] | Player: 76561198979058621 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 14:43:23] | Player: 76561198086725669 withdrawed 50000 from own account.
[Date: 23.04.2021 time: 14:43:34] | Player: 76561198979058621 Deposited 780 on own account.
[Date: 23.04.2021 time: 14:59:45] | Player: 76561198086725669 Deposited 54010 on own account.
[Date: 23.04.2021 time: 14:59:53] | Player: 76561198979058621 Deposited 5555 on own account.
[Date: 23.04.2021 time: 15:04:07] | Player: 76561198999593356 Deposited 19550 on own account.
[Date: 23.04.2021 time: 15:06:10] | Player: 76561199032610093 Deposited 21185 on own account.
[Date: 23.04.2021 time: 15:06:27] | Player: 76561199032610093 withdrawed 21185 from own account.
[Date: 23.04.2021 time: 15:06:28] | Player: 76561199032610093 withdrawed 21185 from own account.
[Date: 23.04.2021 time: 15:06:34] | Player: 76561199032610093 Deposited 21185 on own account.
[Date: 23.04.2021 time: 15:06:35] | Player: 76561199032610093 Deposited 21185 on own account.
[Date: 23.04.2021 time: 15:07:10] | Player: 76561198214237033 Deposited 11550 on own account.
[Date: 23.04.2021 time: 15:07:22] | Player: 76561198999593356 withdrawed 10000 from own account.
[Date: 23.04.2021 time: 15:08:50] | Player: 76561198999593356 Deposited 4500 on own account.
[Date: 23.04.2021 time: 15:09:13] | Player: 76561198999593356 withdrawed 1000 from own account.
[Date: 23.04.2021 time: 15:09:18] | Player: 76561198999593356 Deposited 1000 on own account.
[Date: 23.04.2021 time: 15:09:24] | Player: 76561198999593356 withdrawed 2000 from clan account.
[Date: 23.04.2021 time: 15:10:48] | Player: 76561198999593356 withdrawed 5200 from clan account.
[Date: 23.04.2021 time: 15:12:55] | Player: 76561199048973301 Deposited 33900 on own account.
[Date: 23.04.2021 time: 15:18:00] | Player: 76561198999593356 Deposited 580 on own account.
[Date: 23.04.2021 time: 15:19:40] | Player: 76561198013080573 PermissionsUpdated! from clan: Sish Kebab Salads
