[Date: 27.04.2021 time: 18:00:50] | Succesfully started BankingLogger
[Date: 27.04.2021 time: 18:29:09] | Player: 76561198284652800 withdrawed 56684 from own account.
[Date: 27.04.2021 time: 18:29:13] | Player: 76561199090353785 Deposited 0 on own account.
[Date: 27.04.2021 time: 18:29:14] | Player: 76561199090353785 Deposited 0 on own account.
[Date: 27.04.2021 time: 18:29:16] | Player: 76561199090353785 withdrawed 50000 from own account.
[Date: 27.04.2021 time: 18:29:21] | Player: 76561199090353785 withdrawed 0 from own account.
[Date: 27.04.2021 time: 18:29:30] | Player: 76561199090353785 withdrawed 0 from own account.
[Date: 27.04.2021 time: 18:29:31] | Player: 76561199090353785 withdrawed 0 from own account.
[Date: 27.04.2021 time: 18:37:21] | Player: 76561198284652800 Deposited 36776 on own account.
[Date: 27.04.2021 time: 18:38:52] | Player: 76561198284652800 Deposited 18 on own account.
[Date: 27.04.2021 time: 18:42:17] | Player: 76561198839448946 withdrawed 230000 from own account.
[Date: 27.04.2021 time: 18:42:25] | Player: 76561198839448946 withdrawed 212100 from own account.
[Date: 27.04.2021 time: 18:42:31] | Player: 76561198839448946 Deposited 230000 on own account.
[Date: 27.04.2021 time: 18:43:24] | Player: 76561198143912910 Deposited 14737 on own account.
[Date: 27.04.2021 time: 18:43:40] | Player: 76561198100717229 Deposited 218400 on own account.
[Date: 27.04.2021 time: 18:44:10] | Player: 76561198100717229 withdrawed 30000 from own account.
[Date: 27.04.2021 time: 18:44:54] | Player: 76561198284652800 withdrawed 3000 from own account.
[Date: 27.04.2021 time: 18:48:39] | Player: 76561198143912910 withdrawed 2000 from own account.
[Date: 27.04.2021 time: 18:49:30] | Player: 76561198143912910 withdrawed 2000 from own account.
[Date: 27.04.2021 time: 18:50:23] | Player: 76561198037023350 Deposited 17850 on own account.
[Date: 27.04.2021 time: 18:52:12] | Player: 76561198839448946 Deposited 997000 on own account.
[Date: 27.04.2021 time: 18:52:15] | Player: 76561198839448946 Deposited 0 on own account.
[Date: 27.04.2021 time: 18:53:35] | Player: 76561198143912910 withdrawed 30000 from own account.
[Date: 27.04.2021 time: 18:54:54] | Player: 76561198037023350 Deposited 4000 on own account.
[Date: 27.04.2021 time: 19:03:03] | Player: 76561198100717229 Deposited 23632 on own account.
[Date: 27.04.2021 time: 19:12:43] | Player: 76561198100717229 withdrawed 100000 from own account.
[Date: 27.04.2021 time: 19:42:28] | Player: 76561198037023350 Deposited 12700 on own account.
[Date: 27.04.2021 time: 19:53:44] | Player: 76561199121764782 withdrawed 10000 from own account.
[Date: 27.04.2021 time: 19:56:01] | Player: 76561199121764782 Deposited 9500 on own account.
[Date: 27.04.2021 time: 20:00:51] | Player: 76561198175875361 Deposited 25000 on own account.
[Date: 27.04.2021 time: 20:03:31] | Player: 76561199076812837 withdrawed 10000 from own account.
[Date: 27.04.2021 time: 20:06:05] | Player: 76561199076812837 withdrawed 3000 from own account.
[Date: 27.04.2021 time: 20:08:06] | Player: 76561199076812837 Deposited 415 on own account.
[Date: 27.04.2021 time: 20:19:35] | Player: 76561198037023350 Deposited 182168 on own account.
[Date: 27.04.2021 time: 20:21:46] | Player: 76561198037023350 Deposited 10000 on own account.
[Date: 27.04.2021 time: 20:51:57] | Player: 76561197976576399 Deposited 3230 on own account.
[Date: 27.04.2021 time: 20:57:40] | Player: 76561198037023350 Deposited 13560 on own account.
